13. PUENTE DE VALLECAS. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;PUENTE DE VALLECAS;;Entrevías;;San Diego;;Palomeras Bajas;;Palomeras Sureste;;Portazgo;;Numancia;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;1.496,86;;597,19;;106,99;;172,39;;310,86;;124,53;;184,91;
Primaria (6 a 11 años);38,2%;176.730;38,1%;12.366;38,0%;1.886;37,9%;2.293;38,1%;2.071;38,5%;2.290;38,6%;1.477;37,7%;2.349
Secundaria (12 a 15 años);24,3%;112.494;25,6%;8.325;26,6%;1.322;23,1%;1.402;30,0%;1.627;25,2%;1.497;24,8%;950;24,5%;1.527
Etapas educativas. Total niños;51,2%;237.098;51,6%;16.752;52,9%;2.623;52,2%;3.160;50,1%;2.722;50,8%;3.018;52,5%;2.010;51,6%;3.219
0 a 2 años;18,8%;44.551;18,1%;3.027;17,9%;469;20,3%;643;15,1%;411;18,1%;546;17,3%;348;18,9%;610
Infantil (3 a 5 años);18,8%;44.489;17,6%;2.953;17,2%;452;17,7%;558;16,9%;460;18,1%;547;18,2%;365;17,7%;571
Primaria (6 a 11 años);38,2%;90.647;38,7%;6.480;37,4%;982;39,1%;1.235;38,6%;1.050;38,7%;1.167;39,5%;793;38,9%;1.253
Secundaria (12 a 15 años);24,2%;57.411;25,6%;4.292;27,4%;720;22,9%;724;29,4%;801;25,1%;758;25,1%;504;24,4%;785
Etapas educativas. Total niñas;48,8%;225.913;48,4%;15.713;47,1%;2.339;47,8%;2.898;49,9%;2.710;49,2%;2.926;47,5%;1.821;48,4%;3.019
0 a 2 años;18,8%;42.537;19,2%;3.012;18,6%;434;21,6%;625;16,1%;437;18,2%;532;20,2%;367;20,4%;617
Infantil (3 a 5 años);18,7%;42.210;17,7%;2.782;17,1%;399;18,5%;537;15,7%;426;18,2%;532;17,8%;324;18,7%;564
Primaria (6 a 11 años);38,1%;86.083;37,5%;5.886;38,6%;904;36,5%;1.058;37,7%;1.021;38,4%;1.123;37,6%;684;36,3%;1.096
Secundaria (12 a 15 años);24,4%;55.083;25,7%;4.033;25,7%;602;23,4%;678;30,5%;826;25,3%;739;24,5%;446;24,6%;742
1.5.2. Escolarización de alumnos por tipo de centro (año escolar 2016/17);100%;510.340;100%;35.785;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;43,3%;220.761;48,6%;17.382;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;17,5%;89.197;4,5%;1.615;;;;;;;;;;;;
En centros PÚBLICOS;39,3%;200.382;46,9%;16.788;;;;;;;;;;;;
Total alumnos extranjeros;10,3%;52.588;15,0%;5.360;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,7%;18.249;43,9%;2.352;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;8,6%;4.514;1,6%;85;;;;;;;;;;;;
En centros PÚBLICOS;56,7%;29.825;54,5%;2.923;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;3,9%;19.911;5,8%;2.073;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;50,1%;9.977;41,6%;863;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;3,8%;764;0,3%;6;;;;;;;;;;;;
En centros PÚBLICOS;46,1%;9.170;58,1%;1204;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2018);;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;5,2%;129.614;11,1%;19.426;16,8%;4.314;8,7%;2.632;8,0%;2.381;12,7%;4.098;12,9%;2.792;8,9%;3.209
Primaria incompleta;12,1%;301.397;19,4%;34.002;22,3%;5.737;18,5%;5.615;16,7%;4.929;18,3%;5.879;22,5%;4.872;19,3%;6.970
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,5%;659.083;38,0%;66.753;39,9%;10.260;40,9%;12.414;35,9%;10.618;37,5%;12.065;37,4%;8.104;36,8%;13.292
