04. SALAMANCA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;SALAMANCA;;Recoletos;;Goya;;Fuente del Berro;;Guindalera;;Lista;;Castellana;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;
Espacios verdes;;6,9;;6,4;;;;;;;;;;;;;;;
Parques infantiles ;;6,4;;5,7;;;;;;;;;;;;;;;
Centros culturales;;7,0;;6,4;;;;;;;;;;;;;;;
Organización de fiestas y eventos populares;;6,7;;6,5;;;;;;;;;;;;;;;
Instalaciones deportivas;;6,7;;6,0;;;;;;;;;;;;;;;
Servicios sociales municipales;;6,5;;6,0;;;;;;;;;;;;;;;
Desigualdad en las dotaciones de los barrios (% respuesta muy alta + alta);78,4%;;67,60%;;;;;;;;;;;;;;;;
1.7.3. Principales problemas de la ciudadanía (% personas encuestadas);;;;;;;;;;;;;;;;;;;
1º. Limpieza;29,1%;;42,6%;;;;;;;;;;;;;;;;
2º. Contaminación del aire;18,7%;;16,5%;;;;;;;;;;;;;;;;
3º. Tráfico / atascos;11,8%;;14,2%;;;;;;;;;;;;;;;;
1.7.4. Percepción de seguridad (indicador sintético 0-100);;;;;;;;;;;;;;;;;;;
Percepción de seguridad en Madrid;;67,6;;69,8;;;;;;;;;;;;;;;
Percepción de seguridad en el barrio por el día;;76,0;;81,7;;;;;;;;;;;;;;;
Percepción de seguridad en el barrio por la noche;;60,2;;73,0;;;;;;;;;;;;;;;
1.7.5. Problemas que afectan a la seguridad en los espacios públicos del distrito (escala 0-10);;;;;;;;;;;;;;;;;;;
1º Excrementos animales domésticos;;6,6;;4,4;;;;;;;;;;;;;;;
2º Robos, atracos y hurtos;;4,0;;3,0;;;;;;;;;;;;;;;
3º Conductas que ponen en riesgo la seguridad vial;;3,6;;2,6;;;;;;;;;;;;;;;
1.7.6. Administración de la ciudad de Madrid (% de respuesta);;;;;;;;;;;;;;;;;;;
Medio de información de la actividad del Ayuntamiento: REDES SOCIALES;20,9%;;14,7%;;;;;;;;;;;;;;;;
Preferencia de contacto con el Ayuntamiento: EN PERSONA;46,0%;;47,9%;;;;;;;;;;;;;;;;
Percepción sobre la administración del Ayto. en los últimos 5 años: HA MEJORADO;38,6%;;31,2%;;;;;;;;;;;;;;;;
Percepción sobre la administración del Ayto. en los últimos 5 años: HA EMPEORADO;16,6%;;25,4%;;;;;;;;;;;;;;;;
1.7.7. Amigabilidad de la ciudad de Madrid (% respuesta mucho + bastante);;;;;;;;;;;;;;;;;;;
Madrid ciudad amigable con las personas lesbianas, gays, transexuales y bisexuales;76,9%;;82,8%;;;;;;;;;;;;;;;;
1.8. INDICADORES DE VULNERABILIDAD;;;;;;;;;;;;;;;;;;;
1.8.1. Índice de vulnerabilidad territorial (2019);;;;;;;;;;;;;;;;;;;
Índice de vulnerabilidad territorial;;;;0,0059;;0,0055;;0,0060;;0,0062;;0,0061;;0,0060;;0,0057;;;
Posición en el ranking de distritos y/o barrios de vulnerabilidad territorial;;;;3;;124;;109;;95;;104;;107;;119;;;
1.8.2. Tasa de riesgo de pobreza o exclusión social. Indicador AROPE (2018. Encuesta de Condiciones de Vida);;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobreza o exclusión social;25,5%;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobreza o exclusión social HOMBRES;24,0%;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobreza o exclusión social MUJERES;26,7%;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobreza o exclusión social N. ESPAÑOLA (>16 años);21,9%;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobreza o exclusión social N. EXTRANJERA UNIÓN EUROPEA (>16 años);14,4%;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobreza o exclusión social N. EXTRANJERA RESTO DEL MUNDO (>16 años);66,1%;;;;;;;;;;;;;;;;;;
