20. SAN BLAS-CANILLEJAS. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;SAN BLAS-CANILLEJAS;;Simancas;;Hellín;;Amposta;;Arcos;;Rosas;;Rejas;;Canillejas;;El Salvador;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;2.229;;227,63;;55,06;;37,03;;130,52;;929,65;;501,57;;159,77;;188,01;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;17,9%;92.853;13,9%;3.528;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;39,0%;202.738;50,7%;12.832;;;;;;;;;;;;;;;;;;;;;;;;
Total alumnos extranjeros;10,6%;54.812;9,5%;2.407;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,9%;19.103;25,5%;614;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;9,1%;4.965;5,1%;122;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;56,1%;30.744;69,4%;1.671;;;;;;;;;;;;;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;4,0%;20.898;5,4%;1.358;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;49,2%;10.285;34,8%;473;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;4,6%;963;1,1%;15;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;46,2%;9.650;64,1%;870;;;;;;;;;;;;;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2019);;;;;;;;;;;;;;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;4,9%;123.025;6,0%;7.089;6,0%;1.271;10,4%;750;10,0%;650;9,7%;1.746;2,6%;586;2,8%;342;6,8%;1.536;2,4%;208;;;;;;;;
Primaria incompleta;11,6%;291.746;13,5%;16.041;13,6%;2.884;20,5%;1.484;20,9%;1.355;16,8%;3.035;9,2%;2.046;6,6%;806;16,9%;3.802;7,2%;629;;;;;;;;
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,4%;666.553;30,9%;36.653;32,8%;6.956;39,2%;2.837;42,0%;2.717;35,3%;6.372;24,9%;5.541;22,5%;2.743;34,8%;7.845;18,9%;1.642;;;;;;;;
Formación profesional 2º grado, Bachiller Superior o BUP;19,1%;482.262;20,3%;24.074;19,0%;4.017;17,1%;1.237;15,4%;998;18,6%;3.355;25,4%;5.638;21,0%;2.555;19,0%;4.290;22,8%;1.984;;;;;;;;
Titulados medios, diplomados, arquitecto o ingeniero técnico;9,5%;240.302;9,2%;10.908;8,8%;1.870;4,6%;333;4,3%;280;6,9%;1.241;12,6%;2.794;13,8%;1.673;7,5%;1.689;11,8%;1.028;;;;;;;;
Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados;28,4%;717.868;20,0%;23.699;19,7%;4.165;8,1%;585;7,2%;464;12,7%;2.285;25,2%;5.609;33,2%;4.036;14,9%;3.359;36,7%;3.196;;;;;;;;
