14. MORATALAZ. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;MORATALAZ;;Pavones;;Horcajo;;Marroquina;;Media Legua;;Fontarrón;;Vinateros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas que SI perciben prestaciones (febrero 2022);42,4%;68.028;41,8%;2.031;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;47,3%;32.178;46,0%;935;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;52,7%;35.850;54,0%;1.096;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas que NO perciben prestaciones (febrero 2022);57,6%;92.288;58,2%;2.823;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;39,5%;36.473;38,7%;1.093;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;60,5%;55.815;61,3%;1.730;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2021);100,0%;455.915;100%;10.702;100%;1.057;100%;981;100%;2.575;100%;2.013;100%;2.161;100%;1.915;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0 a 2 años;17,2%;78.328;16,5%;1.763;16,2%;171;12,8%;126;15,9%;409;19,4%;390;15,8%;341;17,0%;326;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,5%;84.424;17,4%;1.861;14,7%;155;12,6%;124;17,9%;460;19,0%;382;17,8%;384;18,6%;356;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;175.023;37,1%;3.970;38,3%;405;36,9%;362;36,3%;934;34,7%;699;39,1%;846;37,8%;724;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;118.140;29,0%;3.108;30,8%;326;37,6%;369;30,0%;772;26,9%;542;27,3%;590;26,6%;509;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Etapas educativas. Total niños;51,1%;233.089;50,4%;5.397;50,1%;530;53,3%;523;51,8%;1.335;49,7%;1.000;49,4%;1.067;49,2%;942;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0 a 2 años;17,1%;39.956;16,0%;863;14,5%;77;12,6%;66;15,7%;209;18,3%;183;14,7%;157;18,2%;171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,6%;43.338;17,1%;921;17,2%;91;15,5%;81;17,1%;228;16,8%;168;18,4%;196;16,7%;157;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;89.462;37,4%;2.016;36,6%;194;34,6%;181;37,0%;494;36,1%;361;39,3%;419;39,0%;367;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;60.333;29,6%;1.597;31,7%;168;37,3%;195;30,3%;404;28,8%;288;27,6%;295;26,2%;247;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Etapas educativas. Total niñas;48,9%;222.826;49,6%;5.305;49,9%;527;46,7%;458;48,2%;1.240;50,3%;1.013;50,6%;1.094;50,8%;973;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0 a 2 años;17,2%;38.372;17,0%;900;17,8%;94;13,1%;60;16,1%;200;20,4%;207;16,8%;184;15,9%;155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,4%;41.086;17,7%;940;12,1%;64;9,4%;43;18,7%;232;21,1%;214;17,2%;188;20,5%;199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;85.561;36,8%;1.954;40,0%;211;39,5%;181;35,5%;440;33,4%;338;39,0%;427;36,7%;357;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;57.807;28,5%;1.511;30,0%;158;38,0%;174;29,7%;368;25,1%;254;27,0%;295;26,9%;262;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.2. Escolarización del alumnado por tipo de centro (año escolar 2019/20);100,0%;531.839;100%;14.404;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;42,4%;225.516;37,3%;5.375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;18,4%;97.728;9,3%;1.336;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;39,2%;208.595;53,4%;7.693;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total alumnos extranjeros;11,7%;62.112;9,0%;1.300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,0%;21.142;14,8%;193;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;9,9%;6.167;2,8%;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;56,0%;34.803;82,4%;1.071;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;4,7%;25.160;5,4%;777;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;44,4%;11.161;28,8%;224;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;4,3%;1.082;1,2%;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;51,3%;12.917;70,0%;544;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2021);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;4,2%;108.764;5,4%;4.037;8,6%;601;3,6%;155;3,8%;828;5,9%;841;6,3%;860;5,5%;752;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Primaria incompleta;10,5%;270.260;12,7%;9.464;13,0%;908;7,7%;335;10,8%;2.324;12,7%;1.807;15,1%;2.062;14,7%;2.028;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,4%;676.508;28,1%;20.923;28,1%;1.969;21,8%;948;25,1%;5.406;27,1%;3.837;33,9%;4.643;29,9%;4.120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
