09. MONCLOA-ARAVACA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;MONCLOA-ARAVACA;;Casa de Campo;;Argüelles;;Ciudad Universitaria;;Valdezarza;;Valdemarín;;El Plantío;;Aravaca;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;4.653,11;;1.746,06;;75,75;;1.425,09;;139,75;;330,25;;352,82;;583,4;
1.6.3. Discapacidad reconocida (31/12/2015);;;;;;;;;;;;;;;;;;
Nº de personas con grado de discapacidad reconocido;5,6%;180.040;4,5%;5.248;;;;;;;;;;;;;;
Hombres;48,1%;86.609;47,2%;2.479;;;;;;;;;;;;;;
Mujeres;51,9%;93.431;52,8%;2.769;;;;;;;;;;;;;;
Mujeres por cada 100 hombres (Feminización de la discapacidad reconocida);;107,9;;111,7;;;;;;;;;;;;;;
1.7. CALIDAD DE VIDA  (2017. Estudio >16 años);;;;;;;;;;;;;;;;;;
1.7.1. Calidad de vida y agenda pública (indicador sintético 0-100);;;;;;;;;;;;;;;;;;
Satisfacción de vivir en su barrio ;;69,8;;78,1;;;;;;;;;;;;;;
Calidad de vida actual en su barrio ;;69,5;;79,7;;;;;;;;;;;;;;
Convivencia vecinal;;67,8;;76,7;;;;;;;;;;;;;;
1.7.2. Satisfacción con los servicios públicos (escala 0-10);;;;;;;;;;;;;;;;;;
Espacios verdes;;6,6;;7,3;;;;;;;;;;;;;;
Parques infantiles ;;6,3;;7,1;;;;;;;;;;;;;;
Centros culturales;;6,9;;6,6;;;;;;;;;;;;;;
Organización de fiestas y eventos populares;;6,7;;6,7;;;;;;;;;;;;;;
Instalaciones deportivas;;6,7;;6,3;;;;;;;;;;;;;;
Servicios sociales municipales;;6,6;;6,6;;;;;;;;;;;;;;
Desigualdad en las dotaciones de los barrios (% respuesta muy alta + alta);82,9%;;88,9%;;;;;;;;;;;;;;;
1.7.3. Principales problemas de la ciudadanía (% personas encuestadas);;;;;;;;;;;;;;;;;;
1º. Limpieza;41,1%;;37,1%;;;;;;;;;;;;;;;
2º. Contaminación del aire;15,0%;;27,3%;;;;;;;;;;;;;;;
3º. Tráfico / atascos;10,8%;;28,0%;;;;;;;;;;;;;;;
1.7.4. Percepción de seguridad (indicador sintético 0-100);;;;;;;;;;;;;;;;;;
Percepción de seguridad en Madrid;;69,0;;72,6;;;;;;;;;;;;;;
Percepción de seguridad en el barrio por el día;;75,4;;79,7;;;;;;;;;;;;;;
Percepción de seguridad en el barrio por la noche;;61,6;;72,0;;;;;;;;;;;;;;
1.7.5. Problemas que afectan a la seguridad en los espacios públicos del distrito (escala 0-10);;;;;;;;;;;;;;;;;;
1º. Residuos por excrementos de animales domésticos;;6,7;;5,8;;;;;;;;;;;;;;
2º. Grafiitis;;4,0;;3,5;;;;;;;;;;;;;;
3º. Botellón;;4,1;;3,4;;;;;;;;;;;;;;
1.7.6. Administración de la ciudad (% de respuesta);;;;;;;;;;;;;;;;;;
Medio de información de la actividad del Ayuntamiento: REDES SOCIALES;19,3%;;25,2%;;;;;;;;;;;;;;;
Preferencia de contacto con el Ayuntamiento: EN PERSONA;48,6%;;39,2%;;;;;;;;;;;;;;;
Percepción sobre la administración del Ayto. en los últimos 5 años: HA MEJORADO;35,3%;;30,8%;;;;;;;;;;;;;;;
Percepción sobre la administración del Ayto. en los últimos 5 años: HA EMPEORADO;14,5%;;14,5%;;;;;;;;;;;;;;;
1.7.7. Amigabilidad de la ciudad (% respuesta mucho + bastante);;;;;;;;;;;;;;;;;;
Madrid ciudad amigable con las personas lesbianas, gays, transexuales y bisexuales;70,8%;;69,2%;;;;;;;;;;;;;;;
1.8. INDICADORES DE VULNERABILIDAD;;;;;;;;;;;;;;;;;;
1.8.1. Índice de vulnerabilidad territorial (2018);;;;;;;;;;;;;;;;;;
Índice de vulnerabilidad territorial;;;;0,0061;;0,0066;;0,0062;;0,0060;;0,0071;;0,0054;;0,0055;;0,0057
Posición en el ranking de distritos y/o barrios de vulnerabilidad territorial;;;;18;;87;;100;;108;;78;;127;;125;;120
1.8.2. Tasa de riesgo de pobleza o exclusión social. Indicador AROPE (2017. Encuesta de Condiciones de Vida);;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social;26,0%;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social HOMBRES;23,9%;;;;;;;;;;;;;;;;;
