20. SAN BLAS-CANILLEJAS. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;SAN BLAS-CANILLEJAS;;Simancas;;Hellín;;Amposta;;Arcos;;Rosas;;Rejas;;Canillejas;;El Salvador;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa de crecimiento demográfico 2020 (%);;-0,7;;-0,6;;-0,9;;0,2;;0,1;;-0,2;;-0,8;;-1,2;;-0,4;;-1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (mortalidad del periodo 2013-2016);;87,5;;87,2;;86,2;;87,1;;84,8;;87,0;;87,9;;89,4;;87,2;;87,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (mortalidad del periodo 2013-2016);;81,9;;81,2;;79,4;;78,7;;78,9;;78,9;;83,2;;88,0;;81,4;;84,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer MUJERES (2020);;85,2;;85,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida al nacer HOMBRES (2020);;79,3;;78,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años MUJERES (2020);;22,4;;22,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esperanza de vida > 65 años HOMBRES (2020);;17,7;;16,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.4. Mujeres y hombres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2019);;0,842;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Índice de desigualdad de género (2009);;0,795;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.3. INDICADORES ECONÓMICOS ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Renta neta media anual de los hogares (Urban Audit). 2018;;42.283,0 €;88%;37.112,0 €;91%;33.592,7 €;69%;25.719,9 €;63%;23.562,1 €;84%;31.150,4 €;126%;46.723,2 €;110%;40.746,1 €;90%;33.554,5 €;154%;57.319,7 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
