05. CHAMARTÍN. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CHAMARTÍN;;El Viso;;Prosperidad;;Ciudad Jardín;;Hispanoamérica;;Nueva España;;Castilla;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;
1.7.2. Satisfacción con los servicios públicos (escala 0-10);;;;;;;;;;;;;;;;;;;
Espacios verdes;;6,9;;6,7;;;;;;;;;;;;;;;
Parques infantiles ;;6,4;;6,2;;;;;;;;;;;;;;;
Centros culturales;;7,0;;7,1;;;;;;;;;;;;;;;
Organización de fiestas y eventos populares;;6,7;;6,7;;;;;;;;;;;;;;;
Instalaciones deportivas;;6,7;;6,9;;;;;;;;;;;;;;;
Servicios sociales municipales;;6,5;;6,4;;;;;;;;;;;;;;;
Desigualdad en las dotaciones de los barrios (% respuesta muy alta + alta);78,4%;;69,20%;;;;;;;;;;;;;;;;
1.7.3. Principales problemas de la ciudadanía (% personas encuestadas);;;;;;;;;;;;;;;;;;;
1º. Limpieza;29,1%;;32,3%;;;;;;;;;;;;;;;;
2º. Contaminación del aire;18,7%;;32,8%;;;;;;;;;;;;;;;;
3º. Tráfico / atascos;11,8%;;22,9%;;;;;;;;;;;;;;;;
1.7.4. Percepción de seguridad (indicador sintético 0-100);;;;;;;;;;;;;;;;;;;
Percepción de seguridad en Madrid;;67,6;;74,9;;;;;;;;;;;;;;;
Percepción de seguridad en el barrio por el día;;76,0;;86,8;;;;;;;;;;;;;;;
Percepción de seguridad en el barrio por la noche;;60,2;;73,0;;;;;;;;;;;;;;;
1.7.5. Problemas que afectan a la seguridad en los espacios públicos del distrito (escala 0-10);;;;;;;;;;;;;;;;;;;
1º Excrementos animales domésticos;;6,6;;5,6;;;;;;;;;;;;;;;
2º Robos, atracos y hurtos;;4,0;;3,4;;;;;;;;;;;;;;;
3º Conductas que ponen en riesgo la seguridad vial;;3,6;;3,3;;;;;;;;;;;;;;;
1.7.6. Administración de la ciudad de Madrid (% de respuesta);;;;;;;;;;;;;;;;;;;
Medio de información de la actividad del Ayuntamiento: REDES SOCIALES;20,9%;;19,4%;;;;;;;;;;;;;;;;
Preferencia de contacto con el Ayuntamiento: EN PERSONA;46,0%;;35,6%;;;;;;;;;;;;;;;;
Percepción sobre la administración del Ayto. en los últimos 5 años: HA MEJORADO;38,6%;;35,8%;;;;;;;;;;;;;;;;
Percepción sobre la administración del Ayto. en los últimos 5 años: HA EMPEORADO;16,6%;;20,4%;;;;;;;;;;;;;;;;
1.7.7. Amigabilidad de la ciudad de Madrid (% respuesta mucho + bastante);;;;;;;;;;;;;;;;;;;
Madrid ciudad amigable con las personas lesbianas, gays, transexuales y bisexuales;76,9%;;83,1%;;;;;;;;;;;;;;;;
1.8. INDICADORES DE VULNERABILIDAD;;;;;;;;;;;;;;;;;;;
1.8.1. Índice de vulnerabilidad territorial (2019);;;;;;;;;;;;;;;;;;;
Índice de vulnerabilidad territorial;;;;0,0058;;0,0053;;0,0062;;0,0062;;0,0056;;0,0054;;0,0058;;;
Posición en el ranking de distritos y/o barrios de vulnerabilidad territorial;;;;1;;129;;98;;97;;121;;128;;115;;;
1.8.2. Tasa de riesgo de pobreza o exclusión social. Indicador AROPE (2018. Encuesta de Condiciones de Vida);;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobreza o exclusión social;25,5%;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobreza o exclusión social HOMBRES;24,0%;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobreza o exclusión social MUJERES;26,7%;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobreza o exclusión social N. ESPAÑOLA (>16 años);21,9%;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobreza o exclusión social N. EXTRANJERA UNIÓN EUROPEA (>16 años);14,4%;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobreza o exclusión social N. EXTRANJERA RESTO DEL MUNDO (>16 años);66,1%;;;;;;;;;;;;;;;;;;
1.8.3. Tasa de riesgo de pobreza de los hogares (2016. Estudio de Necesidades Sociales. Hogares);;;;;;;;;;;;;;;;;;;
Pareja o matrimonio con hijos;;35,7%;;;;;;;;;;;;;;;;;
