12. USERA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;USERA;;Orcasitas;;Orcasur;;San Fermín;;Almendrales;;Moscardó;;Zofío;;Pradolongo;;;;;;;;;;;;;
Tasa absoluta de paro registrado MUJERES ;8,08;;10,54;;11,38;;13,58;;11,71;;9,24;;9,47;;9,81;;9,37;;;;;;;;;;;;;
De 16 a 24 años;3,34;;6,38;;6,78;;9,16;;7,19;;6,59;;5,40;;4,00;;5,07;;;;;;;;;;;;;
De 25 a 44 años;7,30;;10,25;;11,19;;14,24;;11,97;;8,66;;8,73;;9,69;;9,20;;;;;;;;;;;;;
De 45 a 64 años;10,17;;12,11;;12,84;;14,57;;13,06;;10,65;;11,37;;11,81;;10,88;;;;;;;;;;;;;
Personas paradas de larga duración (febrero 2022);51,9%;83.245;51,9%;4.791;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;38,9%;32.359;38,3%;1.835;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;61,1%;50.886;61,7%;2.956;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas que SI perciben prestaciones (febrero 2022);42,4%;68.028;37,3%;3.447;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;47,3%;32.178;49,7%;1.712;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;52,7%;35.850;50,3%;1.735;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas que NO perciben prestaciones (febrero 2022);57,6%;92.288;62,7%;5.792;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;39,5%;36.473;38,8%;2.247;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;60,5%;55.815;61,2%;3.545;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2021);100,0%;455.915;100%;21.188;100%;3.813;100%;2.249;100%;3.991;100%;3.348;100%;3.378;100%;1.895;100%;2.514;;;;;;;;;;;;
0 a 2 años;17,2%;78.328;16,2%;3.431;11,6%;441;16,9%;380;14,2%;567;18,7%;625;18,8%;636;17,4%;329;18,0%;453;;;;;;;;;;;;
Infantil (3 a 5 años);18,5%;84.424;17,5%;3.716;16,6%;632;19,1%;429;14,7%;587;18,7%;625;19,0%;643;17,4%;329;18,7%;471;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;175.023;38,2%;8.086;39,6%;1.509;37,9%;852;39,6%;1.580;38,3%;1.281;35,1%;1.185;38,7%;734;37,6%;945;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;118.140;28,1%;5.955;32,3%;1.231;26,1%;588;31,5%;1.257;24,4%;817;27,1%;914;26,5%;503;25,7%;645;;;;;;;;;;;;
Etapas educativas. Total niños;51,1%;233.089;50,9%;10.788;51,2%;1.952;51,3%;1.153;50,3%;2.006;50,5%;1.690;50,9%;1.719;51,7%;979;51,3%;1.289;;;;;;;;;;;;
0 a 2 años;17,1%;39.956;16,2%;1.752;11,6%;226;15,7%;181;15,0%;301;19,1%;323;18,2%;312;18,1%;177;9,2%;232;;;;;;;;;;;;
Infantil (3 a 5 años);18,6%;43.338;17,7%;1.909;16,3%;319;19,4%;224;14,8%;296;18,8%;318;19,1%;329;17,1%;167;10,2%;256;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;89.462;37,9%;4.091;39,7%;774;38,4%;443;39,4%;791;37,8%;639;35,2%;605;37,6%;368;18,7%;471;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;60.333;28,1%;3.036;32,4%;633;26,5%;305;30,8%;618;24,3%;410;27,5%;473;27,3%;267;13,1%;330;;;;;;;;;;;;
Etapas educativas. Total niñas;48,9%;222.826;49,1%;10.400;48,8%;1.861;48,7%;1.096;49,7%;1.985;49,5%;1.658;49,1%;1.659;48,3%;916;48,7%;1.225;;;;;;;;;;;;
0 a 2 años;17,2%;38.372;16,1%;1.679;11,6%;215;18,2%;199;13,4%;266;18,2%;302;19,5%;324;16,6%;152;18,0%;221;;;;;;;;;;;;
Infantil (3 a 5 años);18,4%;41.086;17,4%;1.807;16,8%;313;18,7%;205;14,7%;291;18,5%;307;18,9%;314;17,7%;162;17,6%;215;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;85.561;38,4%;3.995;39,5%;735;37,3%;409;39,7%;789;38,7%;642;35,0%;580;40,0%;366;38,7%;474;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;57.807;28,1%;2.919;32,1%;598;25,8%;283;32,2%;639;24,5%;407;26,6%;441;25,8%;236;25,7%;315;;;;;;;;;;;;
1.5.2. Escolarización del alumnado por tipo de centro (año escolar 2019/20);100,0%;531.839;100%;22.403;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;42,4%;225.516;48,6%;10.892;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;18,4%;97.728;3,3%;730;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;39,2%;208.595;48,1%;10.781;;;;;;;;;;;;;;;;;;;;;;;;;;
Total alumnos extranjeros;11,7%;62.112;19,6%;4.398;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,0%;21.142;38,6%;1.699;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;9,9%;6.167;1,7%;75;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;56,0%;34.803;59,7%;2.624;;;;;;;;;;;;;;;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;4,7%;25.160;8,4%;1.877;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;44,4%;11.161;43,8%;822;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;4,3%;1.082;0,4%;7;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;51,3%;12.917;55,8%;1.048;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2021);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;4,2%;108.764;7,2%;7.704;10,5%;1.792;11,8%;1.216;7,3%;1.243;5,5%;931;4,3%;894;6,5%;702;6,8%;926;;;;;;;;;;;;
Primaria incompleta;10,5%;270.260;17,4%;18.583;17,7%;3.023;17,8%;1.836;16,5%;2.831;16,9%;2.860;15,8%;3.286;17,9%;1.943;20,5%;2.804;;;;;;;;;;;;
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,4%;676.508;40,1%;42.771;37,9%;6.482;39,1%;4.025;39,4%;6.741;39,2%;6.609;40,0%;8.312;41,9%;4.549;44,3%;6.053;;;;;;;;;;;;
Formación profesional 2º grado, Bachiller Superior o BUP;19,4%;497.456;17,7%;18.860;18,1%;3.101;13,9%;1.433;18,6%;3.187;17,6%;2.976;19,1%;3.970;18,3%;1.987;16,1%;2.206;;;;;;;;;;;;
Titulaciones medias, diplomatura, arquitectura o ingeniería técnica;9,2%;236.829;6,0%;6.390;6,0%;1.030;5,6%;572;6,6%;1.131;6,6%;1.112;6,9%;1.423;5,0%;543;4,2%;579;;;;;;;;;;;;
Estudios superiores, licenciatura, arquitectura superior, estudios superiores no universitarios, docturado, estudios de posgrado;30,2%;774.430;11,5%;12.287;9,6%;1.644;11,8%;1.212;11,5%;1.975;14,1%;2.380;13,8%;2.872;10,3%;1.120;7,9%;1.084;;;;;;;;;;;;
Nivel de estudios desconocido y no consta;0,1%;2.829;0,1%;57;0,1%;16;0,0%;4;0,0%;4;0,0%;6;0,1%;15;0,0%;3;0,1%;9;;;;;;;;;;;;
1.5.4. Programa de prevención y control del absentismo escolar;;2.567.076;1;106.652;1;17.088;1;10.298;1;17.112;1;16.874;1;20.772;1;10.847;1;13.661;;;;;;;;;;;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2020-2021);100,0%;5.307;9,7%;513;;;;;;;;;;;;;;;;;;;;;;;;;;
Casos trabajados HOMBRES;52,2%;2.772;52,4%;269;;;;;;;;;;;;;;;;;;;;;;;;;;
Casos trabajados MUJERES;47,8%;2.535;47,6%;244;;;;;;;;;;;;;;;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2018. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;34,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sedentarismo HOMBRES ;25,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sedentarismo MUJERES ;34,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario;18,9%;;22,7%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario HOMBRES;20,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario MUJERES ;17,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos ;66,3%;;67,5%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos HOMBRES  ;62,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos MUJERES ;69,7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.6.2. Indicadores de nivel de salud (2018. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud  (% respuesta muy buena + buena);72,3%;;66,3%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud HOMBRES ;77,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud MUJERES ;68,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) ;20,2%;;20,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) HOMBRES;19,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) MUJERES;21,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica ;39,8%;;43,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica HOMBRES ;36,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica MUJERES;42,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hipertensión arterial;18,8%;;20,5%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hipertensión arterial HOMBRES;19,7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hipertensión arterial MUJERES;18,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus;6,0%;;8,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus HOMBRES;6,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus MUJERES;5,3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con obesidad ;12,2%;;13,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con obesidad HOMBRES ;13,3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con obesidad MUJERES;11,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso;33,5%;;37,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso HOMBRES;41,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso MUJERES;27,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas mayores de 65 años con alguna dependencia funcional;32,4%;;33,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alguna dependencia funcional HOMBRES ;39,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alguna dependencia funcional MUJERES;48,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Prevalencia de obesidad en la población infantil (2017. Estudio Madrid Salud. UCM);15,8%;;21,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12);21,1%;;22,8%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) HOMBRES;16,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad (GHQ-12) MUJERES;24,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.6.3. Riesgo de mala salud mental en personas de 18 años o más (GHQ-12) Ciudad de Madrid (ENS, 2017, Abril y Octubre de 2020);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) Abril 2020;57,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) HOMBRES Abril 2020;55,5%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) MUJERES Abril 2020;59,5%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) Octubre 2020;49,8%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) HOMBRES Octubre 2020;39,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental(GHQ-12)  MUJERES Octubre 2020;58,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12)   entre 18-29 años (ENS, 2017);13,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12)   entre 30-44 años (ENS, 2017);15,3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12)   entre 45-64 años (ENS, 2017);19,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12)   entre 65 y más años (ENS, 2017);22,7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12)   entre 18-29 años (Abril, 2020);67,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12)   entre 30-44 años (Abril, 2020);66,3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12)   entre 45-64 años (Abril, 2020);59,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12)   entre 65 y más años (Abril, 2020);37,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12)   entre 18-29 años  (Octubre, 2020);52,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12)   entre 30-44 años  (Octubre, 2020);57,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
