02. ARGANZUELA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;ARGANZUELA;;Imperial;;Las Acacias;;La Chopera;;Legazpi;;Las Delicias;;Palos de Moguer;;Atocha;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;646,22;;96,77;;107,34;;56,78;;141,45;;105,47;;64,84;;73,57;;
0 a 2 años;18,8%;87.088;20,7%;4.088;18,9%;529;20,5%;834;24,6%;524;20,1%;783;20,5%;827;21,4%;546;17,8%;45;
Infantil (3 a 5 años);18,7%;86.699;19,2%;3.780;17,4%;487;18,0%;731;20,4%;435;20,8%;808;19,1%;769;19,8%;505;17,8%;45;
Primaria (6 a 11 años);38,2%;176.730;36,3%;7.159;37,5%;1.046;34,9%;1.423;33,7%;719;37,3%;1.451;37,5%;1.513;36,0%;917;35,6%;90;
Secundaria (12 a 15 años);24,3%;112.494;23,8%;4.696;26,2%;731;26,6%;1.084;21,3%;454;21,8%;848;22,9%;925;22,8%;581;28,9%;73;
Etapas educativas. Total niños;51,2%;237.098;50,6%;9.975;50,2%;1.401;50,7%;2.064;49,7%;1.060;51,3%;1.996;50,4%;2.035;50,5%;1.287;52,2%;132;
0 a 2 años;18,8%;44.551;21,0%;2.096;18,8%;264;21,4%;441;24,8%;263;19,9%;398;21,1%;429;21,6%;278;17,4%;23;
Infantil (3 a 5 años);18,8%;44.489;19,7%;1.963;18,3%;256;18,3%;378;20,3%;215;21,8%;435;19,2%;391;20,9%;269;14,4%;19;
Primaria (6 a 11 años);38,2%;90.647;35,3%;3.519;35,8%;502;33,4%;690;33,8%;358;36,7%;732;36,7%;746;34,7%;446;34,1%;45;
Secundaria (12 a 15 años);24,2%;57.411;24,0%;2.397;27,1%;379;26,9%;555;21,1%;224;21,6%;431;23,0%;469;22,8%;294;34,1%;45;
Etapas educativas. Total niñas;48,8%;225.913;49,4%;9.748;49,8%;1.392;49,3%;2.008;50,3%;1.072;48,7%;1.894;49,6%;1.999;49,5%;1.262;47,8%;121;
0 a 2 años;18,8%;42.537;20,4%;1.992;19,0%;265;19,6%;393;24,3%;261;20,3%;385;19,9%;398;21,2%;268;18,2%;22;
Infantil (3 a 5 años);18,7%;42.210;18,6%;1.817;16,6%;231;17,6%;353;20,5%;220;19,7%;373;18,9%;378;18,7%;236;21,5%;26;
Primaria (6 a 11 años);38,1%;86.083;37,3%;3.640;39,1%;544;36,5%;733;33,7%;361;38,0%;719;38,4%;767;37,3%;471;37,2%;45;
Secundaria (12 a 15 años);24,4%;55.083;23,6%;2.299;25,3%;352;26,3%;529;21,5%;230;22,0%;417;22,8%;456;22,7%;287;23,1%;28;
1.5.2. Escolarización de alumnos por tipo de centro (año escolar 2016/17);100%;510.340;100%;17.451;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;43,3%;220.761;31,8%;5.553;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;17,5%;89.197;16,0%;2.788;;;;;;;;;;;;;;;
En centros PÚBLICOS;39,3%;200.382;52,2%;9.110;;;;;;;;;;;;;;;
Total alumnos extranjeros;10,3%;52.588;7,3%;1.272;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,7%;18.249;34,2%;435;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;8,6%;4.514;2,4%;30;;;;;;;;;;;;;;;
En centros PÚBLICOS;56,7%;29.825;63,4%;807;;;;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;3,9%;19.911;3,4%;589;;;;;;;;;;;;;;;
