03. RETIRO. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;RETIRO;;Pacífico;;Adelfas;;La Estrella;;Ibiza;;Los Jerónimos;;Niño Jesús;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;546,62;;75,83;;64,08;;102,55;;49,2;;190,64;;64,33;
Primaria (6 a 11 años);38,1%;86.083;36,6%;2.735;36,1%;683;35,5%;447;38,1%;555;35,2%;473;35,9%;149;38,7%;428
Secundaria (12 a 15 años);24,4%;55.083;23,6%;1.766;24,4%;461;24,9%;314;25,3%;368;21,9%;295;18,6%;77;22,7%;251
1.5.2. Escolarización de alumnos por tipo de centro (año escolar 2016/17);100%;510.340;100%;16.798;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;43,3%;220.761;54,1%;9.093;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;17,5%;89.197;13,1%;2.196;;;;;;;;;;;;
En centros PÚBLICOS;39,3%;200.382;32,8%;5.509;;;;;;;;;;;;
Total alumnos extranjeros;10,3%;52.588;5,0%;843;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,7%;18.249;19,2%;162;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;8,6%;4.514;4,0%;34;;;;;;;;;;;;
En centros PÚBLICOS;56,7%;29.825;76,7%;647;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;3,9%;19.911;1,7%;287;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;50,1%;9.977;36,6%;105;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;3,8%;764;2,4%;7;;;;;;;;;;;;
En centros PÚBLICOS;46,1%;9.170;61,0%;175;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2018);;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;5,2%;129.614;2,1%;1.982;2,3%;645;2,7%;395;1,8%;335;2,2%;377;1,7%;98;1,1%;132
Primaria incompleta;12,1%;301.397;6,6%;6.268;7,8%;2.144;8,0%;1.166;5,6%;1.043;6,7%;1.163;4,7%;272;4,1%;480
