15. CIUDAD LINEAL. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CIUDAD LINEAL;;Ventas;;Pueblo Nuevo;;Quintana;;La Concepción;;San Pascual;;San Juan Bautista;;Colina;;Atalaya;;Costillares;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;1.142,57;;319,8;;231,92;;72,31;;88,59;;105,27;;101,08;;55,97;;24,89;;142,72;
Calidad de vida relacionada con la salud (CVRS) HOMBRES;19,0%;;;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) MUJERES;21,1%;;;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica ;39,8%;;40,2%;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica HOMBRES ;36,6%;;;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica MUJERES;42,4%;;;;;;;;;;;;;;;;;;;;;
Hipertensión arterial;18,8%;;21,3%;;;;;;;;;;;;;;;;;;;
Hipertensión arterial HOMBRES;19,7%;;;;;;;;;;;;;;;;;;;;;
Hipertensión arterial MUJERES;18,1%;;;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus;6,0%;;5,5%;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus HOMBRES;6,9%;;;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus MUJERES;5,3%;;;;;;;;;;;;;;;;;;;;;
Personas con obesidad ;12,2%;;12,7%;;;;;;;;;;;;;;;;;;;
Personas con obesidad HOMBRES ;13,3%;;;;;;;;;;;;;;;;;;;;;
Personas con obesidad MUJERES;11,2%;;;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso;33,5%;;35,1%;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso HOMBRES;41,1%;;;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso MUJERES;27,0%;;;;;;;;;;;;;;;;;;;;;
Personas mayores de 65 años con alguna dependencia funcional;32,4%;;36,2%;;;;;;;;;;;;;;;;;;;
Alguna dependencia funcional HOMBRES ;39,1%;;;;;;;;;;;;;;;;;;;;;
Alguna dependencia funcional MUJERES;48,6%;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12);21,1%;;18,8%;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) HOMBRES;16,6%;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad (GHQ-12) MUJERES;24,9%;;;;;;;;;;;;;;;;;;;;;
Prevalencia de obesidad en la población infantil (2017. Estudio Madrid Salud. UCM);15,8%;;17,1%;;;;;;;;;;;;;;;;;;;
1.6.3. Discapacidad reconocida (31/12/2015);;;;;;;;;;;;;;;;;;;;;;
Nº de personas con grado de discapacidad reconocido;5,6%;180.040;5,0%;10.747;;;;;;;;;;;;;;;;;;
Hombres;48,1%;86.609;47,3%;5.083;;;;;;;;;;;;;;;;;;
Mujeres;51,9%;93.431;52,7%;5.664;;;;;;;;;;;;;;;;;;
Mujeres por cada 100 hombres (Feminización de la discapacidad reconocida);;107,9;;111,4;;;;;;;;;;;;;;;;;;
1.7. CALIDAD DE VIDA  (2017. Estudio >16 años);;;;;;;;;;;;;;;;;;;;;;
1.7.1. Calidad de vida y agenda pública (indicador sintético 0-100);;;;;;;;;;;;;;;;;;;;;;
Satisfacción de vivir en su barrio ;;69,8;;74,0;;;;;;;;;;;;;;;;;;
Calidad de vida actual en su barrio ;;69,5;;72,2;;;;;;;;;;;;;;;;;;
Convivencia vecinal;;67,8;;71,7;;;;;;;;;;;;;;;;;;
1.7.2. Satisfacción con los servicios públicos (escala 0-10);;;;;;;;;;;;;;;;;;;;;;
Espacios verdes;;6,6;;6,3;;;;;;;;;;;;;;;;;;
Parques infantiles ;;6,3;;6,3;;;;;;;;;;;;;;;;;;
Centros culturales;;6,9;;7,4;;;;;;;;;;;;;;;;;;
Organización de fiestas y eventos populares;;6,7;;6,9;;;;;;;;;;;;;;;;;;
Instalaciones deportivas;;6,7;;7,3;;;;;;;;;;;;;;;;;;
Servicios sociales municipales;;6,6;;7,2;;;;;;;;;;;;;;;;;;
Desigualdad en las dotaciones de los barrios (% respuesta muy alta + alta);82,9%;;74,8%;;;;;;;;;;;;;;;;;;;
1.7.3. Principales problemas de la ciudadanía (% personas encuestadas);;;;;;;;;;;;;;;;;;;;;;
1º. Limpieza;41,1%;;33,6%;;;;;;;;;;;;;;;;;;;
2º. Contaminación del aire;15,0%;;0,0%;;;;;;;;;;;;;;;;;;;
3º. Tráfico / atascos;10,8%;;9,8%;;;;;;;;;;;;;;;;;;;
1.7.4. Percepción de seguridad (indicador sintético 0-100);;;;;;;;;;;;;;;;;;;;;;
Percepción de seguridad en Madrid;;69,0;;64,2;;;;;;;;;;;;;;;;;;
Percepción de seguridad en el barrio por el día;;75,4;;74,3;;;;;;;;;;;;;;;;;;
Percepción de seguridad en el barrio por la noche;;61,6;;58,6;;;;;;;;;;;;;;;;;;
1.7.5. Problemas que afectan a la seguridad en los espacios públicos del distrito (escala 0-10);;;;;;;;;;;;;;;;;;;;;;
1º. Residuos por excrementos de animales domésticos;;6,7;;6,4;;;;;;;;;;;;;;;;;;
2º. Estacionamientos indebidos;;3,8;;4,7;;;;;;;;;;;;;;;;;;
3º. Uso indebido de parques y espacios públicos;;4,2;;4,5;;;;;;;;;;;;;;;;;;
1.7.6. Administración de la ciudad (% de respuesta);;;;;;;;;;;;;;;;;;;;;;
Medio de información de la actividad del Ayuntamiento: REDES SOCIALES;19,3%;;21,7%;;;;;;;;;;;;;;;;;;;
Preferencia de contacto con el Ayuntamiento: EN PERSONA;48,6%;;66,4%;;;;;;;;;;;;;;;;;;;
