08. FUENCARRAL-EL PARDO. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;FUENCARRAL-EL PARDO;;El Pardo;;Fuentelarreina;;Peñagrande;;Del Pilar;;La Paz;;Valverde;;Mirasierra;;El Goloso;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;23.783,84;;18.758,3;;138,26;;288,73;;136,32;;215,48;;898,12;;699,28;;2.649,31;
Casos trabajados por el programa de absentismo municipal (curso escolar 2017-2018);100,0%;3.901;4,4%;171;;;;;;;;;;;;;;;;
Casos trabajados HOMBRES;50,1%;1.955;38,6%;66;;;;;;;;;;;;;;;;
Casos trabajados MUJERES;49,9%;1.946;61,4%;105;;;;;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2017. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;28,7%;;;;;;;;;;;;;;;;;
Sedentarismo HOMBRES ;25,2%;;;;;;;;;;;;;;;;;;;
Sedentarismo MUJERES ;34,0%;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario;18,9%;;16,3%;;;;;;;;;;;;;;;;;
Consumo de tabaco diario HOMBRES;20,2%;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario MUJERES ;17,9%;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos ;66,3%;;65,9%;;;;;;;;;;;;;;;;;
Consumo de medicamentos HOMBRES  ;62,4%;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos MUJERES ;69,7%;;;;;;;;;;;;;;;;;;;
1.6.2. Indicadores de nivel de salud (2017. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud  (% respuesta muy buena + buena);72,3%;;73,2%;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud HOMBRES ;77,4%;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud MUJERES ;68,0%;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) ;20,2%;;20,1%;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) HOMBRES;19,0%;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) MUJERES;21,1%;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica ;39,8%;;37,1%;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica HOMBRES ;36,6%;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica MUJERES;42,4%;;;;;;;;;;;;;;;;;;;
Hipertensión arterial;18,8%;;16,5%;;;;;;;;;;;;;;;;;
Hipertensión arterial HOMBRES;19,7%;;;;;;;;;;;;;;;;;;;
Hipertensión arterial MUJERES;18,1%;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus;6,0%;;5,3%;;;;;;;;;;;;;;;;;
Diabetes Mellitus HOMBRES;6,9%;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus MUJERES;5,3%;;;;;;;;;;;;;;;;;;;
Personas con obesidad ;12,2%;;10,9%;;;;;;;;;;;;;;;;;
Personas con obesidad HOMBRES ;13,3%;;;;;;;;;;;;;;;;;;;
Personas con obesidad MUJERES;11,2%;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso;33,5%;;33,3%;;;;;;;;;;;;;;;;;
Personas con sobrepeso HOMBRES;41,1%;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso MUJERES;27,0%;;;;;;;;;;;;;;;;;;;
Personas mayores de 65 años con alguna dependencia funcional;32,4%;;35,3%;;;;;;;;;;;;;;;;;
Alguna dependencia funcional HOMBRES ;39,1%;;;;;;;;;;;;;;;;;;;
Alguna dependencia funcional MUJERES;48,6%;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12);21,1%;;21,1%;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) HOMBRES;16,6%;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad (GHQ-12) MUJERES;24,9%;;;;;;;;;;;;;;;;;;;
Prevalencia de obesidad en la población infantil (2017. Estudio Madrid Salud. UCM);15,8%;;11,5%;;;;;;;;;;;;;;;;;
1.6.3. Discapacidad reconocida (31/12/2015);;;;;;;;;;;;;;;;;;;;
Nº de personas con grado de discapacidad reconocido;5,6%;180.040;4,5%;10.836;;;;;;;;;;;;;;;;
Hombres;48,1%;86.609;47,9%;5.191;;;;;;;;;;;;;;;;
Mujeres;51,9%;93.431;52,1%;5.645;;;;;;;;;;;;;;;;
Mujeres por cada 100 hombres (Feminización de la discapacidad reconocida);;107,9;;108,7;;;;;;;;;;;;;;;;
1.7. CALIDAD DE VIDA  (2017. Estudio >16 años);;;;;;;;;;;;;;;;;;;;
1.7.1. Calidad de vida y agenda pública (indicador sintético 0-100);;;;;;;;;;;;;;;;;;;;
Satisfacción de vivir en su barrio ;;69,8;;73,4;;;;;;;;;;;;;;;;
Calidad de vida actual en su barrio ;;69,5;;70,6;;;;;;;;;;;;;;;;
Convivencia vecinal;;67,8;;72,6;;;;;;;;;;;;;;;;
1.7.2. Satisfacción con los servicios públicos (escala 0-10);;;;;;;;;;;;;;;;;;;;
Espacios verdes;;6,6;;6,9;;;;;;;;;;;;;;;;
Parques infantiles ;;6,3;;6,9;;;;;;;;;;;;;;;;
Centros culturales;;6,9;;7,1;;;;;;;;;;;;;;;;
Organización de fiestas y eventos populares;;6,7;;6,9;;;;;;;;;;;;;;;;
Instalaciones deportivas;;6,7;;7,2;;;;;;;;;;;;;;;;
Servicios sociales municipales;;6,6;;7,1;;;;;;;;;;;;;;;;
Desigualdad en las dotaciones de los barrios (% respuesta muy alta + alta);82,9%;;83,3%;;;;;;;;;;;;;;;;;
1.7.3. Principales problemas de la ciudadanía (% personas encuestadas);;;;;;;;;;;;;;;;;;;;
1º. Limpieza;41,1%;;35,0%;;;;;;;;;;;;;;;;;
2º. Contaminación del aire;15,0%;;8,4%;;;;;;;;;;;;;;;;;
3º. Tráfico / atascos;10,8%;;7,0%;;;;;;;;;;;;;;;;;
1.7.4. Percepción de seguridad (indicador sintético 0-100);;;;;;;;;;;;;;;;;;;;
Percepción de seguridad en Madrid;;69,0;;72,7;;;;;;;;;;;;;;;;
Percepción de seguridad en el barrio por el día;;75,4;;80,6;;;;;;;;;;;;;;;;
Percepción de seguridad en el barrio por la noche;;61,6;;66,8;;;;;;;;;;;;;;;;
1.7.5. Problemas que afectan a la seguridad en los espacios públicos del distrito (escala 0-10);;;;;;;;;;;;;;;;;;;;
1º. Residuos de excrementos de animales domésticos;;6,7;;6,5;;;;;;;;;;;;;;;;
2º. Exceso de velocidad;;3,8;;4,7;;;;;;;;;;;;;;;;
3º. Conductas que ponen en riesgo la seguridad vial ;;4,1;;4,4;;;;;;;;;;;;;;;;
1.7.6. Administración de la ciudad (% de respuesta);;;;;;;;;;;;;;;;;;;;
Medio de información de la actividad del Ayuntamiento: REDES SOCIALES;19,3%;;15,4%;;;;;;;;;;;;;;;;;
Preferencia de contacto con el Ayuntamiento: EN PERSONA;48,6%;;41,3%;;;;;;;;;;;;;;;;;
Percepción sobre la administración del Ayto. en los últimos 5 años: HA MEJORADO;35,3%;;35,0%;;;;;;;;;;;;;;;;;
Percepción sobre la administración del Ayto. en los últimos 5 años: HA EMPEORADO;14,5%;;12,6%;;;;;;;;;;;;;;;;;
1.7.7. Amigabilidad de la ciudad (% respuesta mucho + bastante);;;;;;;;;;;;;;;;;;;;
Madrid ciudad amigable con las personas lesbianas, gays, transexuales y bisexuales;70,8%;;56,7%;;;;;;;;;;;;;;;;;
1.8. INDICADORES DE VULNERABILIDAD;;;;;;;;;;;;;;;;;;;;
1.8.1. Índice de vulnerabilidad territorial (2018);;;;;;;;;;;;;;;;;;;;
Índice de vulnerabilidad territorial;;;;0,0066;;0,0072;;0,0060;;0,0070;;0,0075;;0,0064;;0,0071;;0,0060;;0,0059
Posición en el ranking de distritos y/o barrios de vulnerabilidad territorial;;;;15;;75;;107;;79;;67;;90;;77;;109;;112
1.8.2. Tasa de riesgo de pobleza o exclusión social. Indicador AROPE (2017. Encuesta de Condiciones de Vida);;;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social;26,0%;;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social HOMBRES;23,9%;;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social MUJERES;27,9%;;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social N. ESPAÑOLA (>16 años);22,0%;;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social N. EXTRANJERA UNIÓN EUROPEA (>16 años);18,1%;;;;;;;;;;;;;;;;;;;
