21. BARAJAS. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;BARAJAS;;Alameda de Osuna;;Aeropuerto;;Casco Histórico de Barajas;;Timón;;Corralejos;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;43,3%;220.761;27,1%;2.434;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;17,5%;89.197;22,7%;2.041;;;;;;;;;;;;
En centros PÚBLICOS;39,3%;200.382;50,1%;4.500;;;;;;;;;;;;
Total alumnos extranjeros;10,3%;52.588;6,8%;610;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,7%;18.249;16,4%;100;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;8,6%;4.514;15,2%;93;;;;;;;;;;;;
En centros PÚBLICOS;56,7%;29.825;68,4%;417;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;3,9%;19.911;2,1%;185;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;50,1%;9.977;69,2%;128;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;3,8%;764;1,6%;3;;;;;;;;;;;;
En centros PÚBLICOS;46,1%;9.170;29,2%;54;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2018);;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;5,2%;129.614;3,6%;1.261;1,4%;206;9,9%;135;8,0%;475;4,0%;330;2,4%;115;;
Primaria incompleta;12,1%;301.397;7,5%;2.639;5,2%;765;16,8%;229;13,9%;825;7,4%;614;4,2%;206;;
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,5%;659.083;21,5%;7.553;16,5%;2.428;39,0%;531;34,6%;2.057;24,4%;2.022;10,5%;515;;
Formación profesional 2º grado, Bachiller Superior o BUP;19,1%;475.507;23,0%;8.075;24,9%;3.655;21,6%;294;22,8%;1.356;23,0%;1.905;17,7%;865;;
Titulados medios, diplomados, arquitecto o ingeniero técnico;9,7%;240.663;13,5%;4.755;15,8%;2.314;4,9%;67;7,8%;463;13,3%;1.104;16,5%;807;;
Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados;27,3%;681.198;30,9%;10.873;36,1%;5.307;7,5%;102;12,9%;764;28,0%;2.321;48,7%;2.379;;
Nivel de estudios desconocido y no consta;0,1%;3.467;0,1%;22;0,1%;15;0,1%;2;0,1%;3;0,0%;2;0,0%;0;;
1.5.4. Programa de prevención y control del absentismo escolar;;;;;;;;;;;;;;;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2017-2018);100,0%;3.901;0,7%;28;;;;;;;;;;;;
Casos trabajados HOMBRES;50,1%;1.955;60,7%;17;;;;;;;;;;;;
Casos trabajados MUJERES;49,9%;1.946;39,3%;11;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2017. Estudio Madrid Salud);;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;25,0%;;;;;;;;;;;;;
Sedentarismo HOMBRES ;25,2%;;;;;;;;;;;;;;;
Sedentarismo MUJERES ;34,0%;;;;;;;;;;;;;;;
Consumo de tabaco diario;18,9%;;16,4%;;;;;;;;;;;;;
Consumo de tabaco diario HOMBRES;20,2%;;;;;;;;;;;;;;;
Consumo de tabaco diario MUJERES ;17,9%;;;;;;;;;;;;;;;
Consumo de medicamentos ;66,3%;;59,5%;;;;;;;;;;;;;
Consumo de medicamentos HOMBRES  ;62,4%;;;;;;;;;;;;;;;
Consumo de medicamentos MUJERES ;69,7%;;;;;;;;;;;;;;;
