12. USERA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;USERA;;Orcasitas;;Orcasur;;San Fermín;;Almendrales;;Moscardó;;Zofío;;Pradolongo;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;777,77;;135,64;;138,73;;147,54;;78,01;;90,88;;77,4;;109,57;
Percepción de seguridad en el barrio por el día;;75,4;;68,7;;;;;;;;;;;;;;
Percepción de seguridad en el barrio por la noche;;61,6;;59,4;;;;;;;;;;;;;;
1.7.5. Problemas que afectan a la seguridad en los espacios públicos del distrito (escala 0-10);;;;;;;;;;;;;;;;;;
1º. Residuos por excrementos de animales domésticos;;6,7;;7,8;;;;;;;;;;;;;;
2º. Personas orinando en la calle;;4,5;;6,0;;;;;;;;;;;;;;
3º. Uso indebido de parques y espacios públicos;;4,2;;6,0;;;;;;;;;;;;;;
1.7.6. Administración de la ciudad (% de respuesta);;;;;;;;;;;;;;;;;;
Medio de información de la actividad del Ayuntamiento: REDES SOCIALES;19,3%;;11,9%;;;;;;;;;;;;;;;
Preferencia de contacto con el Ayuntamiento: EN PERSONA;48,6%;;65,7%;;;;;;;;;;;;;;;
Percepción sobre la administración del Ayto. en los últimos 5 años: HA MEJORADO;35,3%;;31,5%;;;;;;;;;;;;;;;
Percepción sobre la administración del Ayto. en los últimos 5 años: HA EMPEORADO;14,5%;;15,4%;;;;;;;;;;;;;;;
1.7.7. Amigabilidad de la ciudad (% respuesta mucho + bastante);;;;;;;;;;;;;;;;;;
Madrid ciudad amigable con las personas lesbianas, gays, transexuales y bisexuales;70,8%;;92,3%;;;;;;;;;;;;;;;
1.8. INDICADORES DE VULNERABILIDAD;;;;;;;;;;;;;;;;;;
1.8.1. Índice de vulnerabilidad territorial (2018);;;;;;;;;;;;;;;;;;
Índice de vulnerabilidad territorial;;;;0,0101;;0,0096;;0,0101;;0,0099;;0,0103;;0,0100;;0,0102;;0,0106
