06. TETUÁN. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;TETUÁN;;Bellas Vistas;;Cuatro Caminos;;Castillejos;;Almenara;;Valdeacederas;;Berruguete;;;;;;;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 45 a 64 años;8,9%;;10,1%;;10,1%;;7,6%;;7,4%;;13,9%;;10,5%;;11,3%;;;;;;;;;;;;;;;;;;;;;;;;;
Parados de larga duración (febrero 2020);38,2%;63.943;37,8%;3.100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;39,7%;25.381;40,0%;1.240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;60,3%;38.562;60,0%;1.860;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Parados que SÍ perciben prestaciones (febrero 2020);43,4%;72.603;47,5%;3.889;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;48,2%;34.979;46,9%;1825;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;51,8%;37.624;53,1%;2.064;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Parados que NO perciben prestaciones (febrero 2020);56,6%;94.585;52,5%;4.304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;41,3%;39.063;41,8%;1.798;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;58,7%;55.522;58,2%;2.506;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2018);100,0%;464338;100%;18.510;100%;3.484;100%;3.718;100%;2.006;100%;2.742;100%;3.412;100%;3.148;;;;;;;;;;;;;;;;;;;;;;;;
0 a 2 años;18,2%;84.692;21,7%;4.023;22,0%;765;22,3%;828;24,0%;481;20,6%;565;21,9%;748;20,2%;636;;;;;;;;;;;;;;;;;;;;;;;;
