05. CHAMARTÍN. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CHAMARTÍN;;El Viso;;Prosperidad;;Ciudad Jardín;;Hispanoamérica;;Nueva España;;Castilla;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,6%;43.338;19,8%;1.998;20,0%;245;21,7%;445;18,7%;220;20,0%;460;18,8%;400;19,2%;228;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;89.462;36,9%;3.717;36,4%;447;35,5%;728;35,4%;417;36,8%;847;37,7%;804;39,8%;474;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;60.333;23,8%;2.403;23,1%;284;23,8%;487;24,4%;287;23,1%;532;25,2%;538;23,1%;275;;;;;;;;;;;;;;;
Etapas educativas. Total niñas;48,9%;222.826;49,4%;9.835;49,2%;1.189;49,9%;2.043;48,5%;1.110;50,0%;2.299;49,2%;2.069;48,6%;1.125;;;;;;;;;;;;;;;
0 a 2 años;17,2%;38.372;19,2%;1.887;17,4%;207;20,4%;417;20,5%;228;19,6%;450;17,8%;369;19,2%;216;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,4%;41.086;19,8%;1.943;20,0%;238;19,8%;405;21,8%;242;19,3%;443;19,0%;394;19,6%;221;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;85.561;37,2%;3.661;38,9%;462;35,7%;730;35,0%;389;36,8%;846;40,0%;827;36,2%;407;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;57.807;23,8%;2.344;23,7%;282;24,0%;491;22,6%;251;24,4%;560;23,2%;479;25,0%;281;;;;;;;;;;;;;;;
1.5.2. Escolarización del alumnado por tipo de centro (año escolar 2019/20);100,0%;531.839;100%;36.784;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;42,4%;225.516;45,3%;16.651;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;18,4%;97.728;34,9%;12.855;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;39,2%;208.595;19,8%;7.278;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total alumnos extranjeros;11,7%;62.112;5,3%;1.949;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,0%;21.142;33,1%;646;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;9,9%;6.167;31,4%;612;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;56,0%;34.803;35,5%;691;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;4,7%;25.160;3,3%;1199;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;44,4%;11.161;74,2%;890;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;4,3%;1.082;11,8%;141;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;51,3%;12.917;14,0%;168;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2021);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;4,2%;108.764;1,3%;1.479;1,2%;159;1,5%;455;1,6%;240;1,1%;263;0,8%;156;1,5%;206;;;;;;;;;;;;;;;
Primaria incompleta;10,5%;270.260;4,1%;4.743;3,0%;402;5,3%;1.577;5,5%;829;3,6%;876;2,6%;482;4,3%;577;;;;;;;;;;;;;;;
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,4%;676.508;13,2%;15.175;11,5%;1.532;15,8%;4.722;16,5%;2.493;12,0%;2.944;10,2%;1.893;11,9%;1.591;;;;;;;;;;;;;;;
Formación profesional 2º grado, Bachiller Superior o BUP;19,4%;497.456;17,9%;20.575;16,6%;2.205;20,0%;5.964;19,3%;2.916;17,3%;4.263;15,7%;2.898;17,4%;2.329;;;;;;;;;;;;;;;
Titulaciones medias, diplomatura, arquitectura o ingeniería técnica;9,2%;236.829;10,7%;12.238;8,7%;1.164;11,9%;3.562;10,9%;1.645;10,6%;2.614;9,6%;1.780;11,0%;1.473;;;;;;;;;;;;;;;
Estudios superiores, licenciatura, arquitectura superior, estudios superiores no universitarios, docturado, estudios de posgrado;30,2%;774.430;52,5%;60.201;58,6%;7.804;45,2%;13.462;46,0%;6.940;55,2%;13.579;60,8%;11.234;53,7%;7.182;;;;;;;;;;;;;;;
Nivel de estudios desconocido y no consta;0,1%;2.829;0,2%;279;0,3%;46;0,2%;72;0,3%;40;0,3%;67;0,2%;28;0,2%;26;;;;;;;;;;;;;;;
1.5.4. Programa de prevención y control del absentismo escolar;;2.567.076;1;114.690;1;13.312;1;29.814;1;15.103;1;24.606;1;18.471;1;13.384;;;;;;;;;;;;;;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2020-2021);100,0%;5.307;0,6%;32;;;;;;;;;;;;;;;;;;;;;;;;;;;
Casos trabajados HOMBRES;52,2%;2.772;53,1%;17;;;;;;;;;;;;;;;;;;;;;;;;;;;
Casos trabajados MUJERES;47,8%;2.535;46,9%;15;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2018. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;25,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sedentarismo HOMBRES ;25,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sedentarismo MUJERES ;34,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario;18,9%;;18,5%;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario HOMBRES;20,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario MUJERES ;17,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos ;66,3%;;65,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos HOMBRES  ;62,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos MUJERES ;69,7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.6.2. Indicadores de nivel de salud (2018. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud  (% respuesta muy buena + buena);72,3%;;78,5%;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud HOMBRES ;77,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud MUJERES ;68,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) ;20,2%;;19,3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) HOMBRES;19,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) MUJERES;21,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica ;39,8%;;35,5%;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica HOMBRES ;36,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica MUJERES;42,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
