16. HORTALEZA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;HORTALEZA;;Palomas;;Piovera;;Canillas;;Pinar del Rey;;Apóstol Santiago;;Valdefuentes;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;2.741,98;;112,98;;313,96;;252,25;;266,48;;120,51;;1675,8;;;;;;;;;
Primaria (6 a 11 años);38,3%;86.870;38,7%;6.317;39,4%;259;37,2%;495;38,0%;910;37,7%;1201;38,3%;381;39,6%;3.071;;;;;;;;
Secundaria (12 a 15 años);24,8%;56.150;23,4%;3.814;31,4%;206;30,6%;407;26,1%;626;25,7%;817;31,6%;315;18,6%;1.443;;;;;;;;
1.5.2. Escolarización de alumnos por tipo de centro (año escolar 2017/18);100,0%;519.294;100%;37.034;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;43,1%;223.703;33,1%;12.242;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;17,9%;92.853;37,7%;13.967;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;39,0%;202.738;29,2%;10.825;;;;;;;;;;;;;;;;;;;;
Total alumnos extranjeros;10,6%;54.812;9,1%;3.376;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,9%;19.103;11,7%;395;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;9,1%;4.965;53,9%;1.818;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;56,1%;30.744;34,4%;1.163;;;;;;;;;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;4,0%;20.898;2,7%;1.000;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;49,2%;10.285;45,9%;459;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;4,6%;963;10,2%;102;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;46,2%;9.650;43,9%;439;;;;;;;;;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2019);;;;;;;;;;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;4,9%;123.025;3,9%;5.385;0,7%;34;1,3%;133;4,8%;1.548;5,9%;2.463;5,4%;648;1,5%;559;;;;;;;;
Primaria incompleta;11,6%;291.746;9,7%;13.457;2,8%;129;3,2%;329;13,6%;4.412;14,6%;6.145;10,3%;1.229;3,2%;1.213;;;;;;;;
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,4%;666.553;21,8%;30.311;10,1%;462;10,9%;1.124;25,1%;8.184;30,5%;12.814;26,7%;3.183;12,1%;4.544;;;;;;;;
Formación profesional 2º grado, Bachiller Superior o BUP;19,1%;482.262;20,0%;27.854;19,5%;893;17,7%;1.823;21,4%;6.973;20,6%;8.656;23,6%;2.814;17,8%;6.695;;;;;;;;
Titulados medios, diplomados, arquitecto o ingeniero técnico;9,5%;240.302;11,3%;15.768;12,6%;577;11,4%;1.174;9,8%;3.181;8,8%;3.689;9,9%;1.176;15,8%;5.971;;;;;;;;
Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados;28,4%;717.868;33,2%;46.259;54,2%;2.489;55,5%;5.731;25,2%;8.217;19,6%;8.258;23,9%;2.850;49,6%;18.714;;;;;;;;
Nivel de estudios desconocido y no consta;0,1%;3.253;0,1%;113;0,1%;6;0,1%;10;0,1%;36;0,1%;30;0,2%;18;0,0%;13;;;;;;;;
1.5.4. Programa de prevención y control del absentismo escolar;1;2.525.009;1;139.147;1;4.590;1;10.324;1;32.551;1;42.055;1;11.918;1;37.709;;;;;;;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2018-2019);100,0%;4.025;2,8%;113;;;;;;;;;;;;;;;;;;;;
Casos trabajados HOMBRES;51,2%;2.060;55,8%;63;;;;;;;;;;;;;;;;;;;;
Casos trabajados MUJERES;48,8%;1.965;44,2%;50;;;;;;;;;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2017-18. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;26,7%;;;;;;;;;;;;;;;;;;;;;
Sedentarismo HOMBRES ;25,2%;;;;;;;;;;;;;;;;;;;;;;;
Sedentarismo MUJERES ;34,0%;;;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario;18,9%;;16,1%;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario HOMBRES;20,2%;;;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario MUJERES ;17,9%;;;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos ;66,3%;;65,9%;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos HOMBRES  ;62,4%;;;;;;;;;;;;;;;;;;;;;;;
