01. CENTRO. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;CENTRO;;Palacio;;Embajadores;;Cortes;;Justicia;;Universidad;;Sol;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;522,82;;146,99;;103,37;;59,19;;73,94;;94,80;;44,53;
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,5%;659.083;19,4%;21.902;18,6%;3.569;22,2%;8.427;16,5%;1.512;15,9%;2.241;18,7%;4.941;19,5%;1.212
Formación profesional 2º grado, Bachiller Superior o BUP;19,1%;475.507;18,6%;21.053;18,9%;3.620;18,5%;7.018;19,1%;1.745;18,1%;2.546;18,4%;4.869;20,2%;1.255
Titulados medios, diplomados, arquitecto o ingeniero técnico;9,7%;240.663;10,0%;11.337;10,5%;2.007;9,2%;3.476;9,8%;895;10,0%;1.401;10,9%;2.890;10,7%;668
Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados;27,3%;681.198;40,2%;45.338;41,1%;7.885;34,3%;13.006;45,4%;4.160;48,1%;6.769;41,8%;11.031;40,0%;2.487
Nivel de estudios desconocido y no consta;0,1%;3.467;0,1%;101;0,1%;16;0,1%;39;0,0%;2;0,1%;12;0,1%;27;0,1%;5
1.5.4. Programa de prevención y control del absentismo escolar;;;;;;;;;;;;;;;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2017-2018);100,0%;3.901;2,6%;101;;;;;;;;;;;;
Casos trabajados HOMBRES;50,1%;1.955;44,6%;45;;;;;;;;;;;;
Casos trabajados MUJERES;49,9%;1.946;55,4%;56;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2017. Estudio Madrid Salud);;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;26,9%;;;;;;;;;;;;;
Sedentarismo HOMBRES ;25,2%;;;;;;;;;;;;;;;
Sedentarismo MUJERES ;34,0%;;;;;;;;;;;;;;;
Consumo de tabaco diario;18,9%;;22,6%;;;;;;;;;;;;;
Consumo de tabaco diario HOMBRES;20,2%;;;;;;;;;;;;;;;
Consumo de tabaco diario MUJERES ;17,9%;;;;;;;;;;;;;;;
Consumo de medicamentos ;66,3%;;62,6%;;;;;;;;;;;;;
Consumo de medicamentos HOMBRES  ;62,4%;;;;;;;;;;;;;;;
Consumo de medicamentos MUJERES ;69,7%;;;;;;;;;;;;;;;
1.6.2. Indicadores de nivel de salud (2017. Estudio Madrid Salud);;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud  (% respuesta muy buena + buena);72,3%;;75,9%;;;;;;;;;;;;;
Autopercepción de buen estado de salud HOMBRES ;77,4%;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud MUJERES ;68,0%;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) ;20,2%;;19,9%;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) HOMBRES;19,0%;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) MUJERES;21,1%;;;;;;;;;;;;;;;
Presencia de enfermedad crónica ;39,8%;;34,0%;;;;;;;;;;;;;
Presencia de enfermedad crónica HOMBRES ;36,6%;;;;;;;;;;;;;;;
Presencia de enfermedad crónica MUJERES;42,4%;;;;;;;;;;;;;;;
Hipertensión arterial;18,8%;;13,2%;;;;;;;;;;;;;
Hipertensión arterial HOMBRES;19,7%;;;;;;;;;;;;;;;
Hipertensión arterial MUJERES;18,1%;;;;;;;;;;;;;;;
Diabetes Mellitus;6,0%;;3,6%;;;;;;;;;;;;;
Diabetes Mellitus HOMBRES;6,9%;;;;;;;;;;;;;;;
Diabetes Mellitus MUJERES;5,3%;;;;;;;;;;;;;;;
Personas con obesidad ;12,2%;;9,3%;;;;;;;;;;;;;
Personas con obesidad HOMBRES ;13,3%;;;;;;;;;;;;;;;
Personas con obesidad MUJERES;11,2%;;;;;;;;;;;;;;;
Personas con sobrepeso;33,5%;;26,2%;;;;;;;;;;;;;
Personas con sobrepeso HOMBRES;41,1%;;;;;;;;;;;;;;;
Personas con sobrepeso MUJERES;27,0%;;;;;;;;;;;;;;;
Personas mayores de 65 años con alguna dependencia funcional;32,4%;;27,0%;;;;;;;;;;;;;
Alguna dependencia funcional HOMBRES ;39,1%;;;;;;;;;;;;;;;
Alguna dependencia funcional MUJERES;48,6%;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12);21,1%;;21,8%;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) HOMBRES;16,6%;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad (GHQ-12) MUJERES;24,9%;;;;;;;;;;;;;;;
Prevalencia de obesidad en la población infantil (2017. Estudio Madrid Salud. UCM);15,8%;;17,1%;;;;;;;;;;;;;
1.6.3. Discapacidad reconocida (31/12/2015);;;;;;;;;;;;;;;;
Nº de personas con grado de discapacidad reconocido;5,6%;180.040;9,8%;13.002;;;;;;;;;;;;
Hombres;48,1%;86.609;51,0%;6.626;;;;;;;;;;;;
Mujeres;51,9%;93.431;49,0%;6.376;;;;;;;;;;;;
Mujeres por cada 100 hombres (Feminización de la discapacidad reconocida);;107,9;;96,2;;;;;;;;;;;;
1.7. CALIDAD DE VIDA  (2017. Estudio >16 años);;;;;;;;;;;;;;;;
1.7.1. Calidad de vida y agenda pública (indicador sintético 0-100);;;;;;;;;;;;;;;;
Satisfacción de vivir en su barrio ;;69,8;;68,0;;;;;;;;;;;;
Calidad de vida actual en su barrio ;;69,5;;69,2;;;;;;;;;;;;
Convivencia vecinal;;67,8;;62,8;;;;;;;;;;;;
1.7.2. Satisfacción con los servicios públicos (escala 0-10);;;;;;;;;;;;;;;;
Espacios verdes;;6,6;;5,7;;;;;;;;;;;;
Parques infantiles ;;6,3;;5,2;;;;;;;;;;;;
Centros culturales;;6,9;;6,6;;;;;;;;;;;;
Organización de fiestas y eventos populares;;6,7;;5,9;;;;;;;;;;;;
Instalaciones deportivas;;6,7;;5,7;;;;;;;;;;;;
Servicios sociales municipales;;6,6;;6,5;;;;;;;;;;;;
Desigualdad en las dotaciones de los barrios (% respuesta muy alta + alta);82,9%;;87,4%;;;;;;;;;;;;;
1.7.3. Principales problemas de la ciudadanía (% personas encuestadas);;;;;;;;;;;;;;;;
1º. Limpieza;41,1%;;47,2%;;;;;;;;;;;;;
2º. Contaminación del aire;15,0%;;21,7%;;;;;;;;;;;;;
3º. Tráfico / atascos;10,8%;;12,6%;;;;;;;;;;;;;
1.7.4. Percepción de seguridad (indicador sintético 0-100);;;;;;;;;;;;;;;;
Percepción de seguridad en Madrid;;69,0;;77,8;;;;;;;;;;;;
Percepción de seguridad en el barrio por el día;;75,4;;82,3;;;;;;;;;;;;
Percepción de seguridad en el barrio por la noche;;61,6;;79,4;;;;;;;;;;;;
1.7.5. Problemas que afectan a la seguridad en los espacios públicos del distrito (escala 0-10);;;;;;;;;;;;;;;;
1º. Personas orinando en la calle;;4,5;;7,8;;;;;;;;;;;;
2º. Molestias por ruido;;3,8;;6,5;;;;;;;;;;;;
3º. Botellón;;4,1;;5,9;;;;;;;;;;;;
1.7.6. Administración de la ciudad (% de respuesta);;;;;;;;;;;;;;;;
Medio de información de la actividad del Ayuntamiento: REDES SOCIALES;19,3%;;24,5%;;;;;;;;;;;;;
Preferencia de contacto con el Ayuntamiento: EN PERSONA;48,6%;;18,9%;;;;;;;;;;;;;
