15. CIUDAD LINEAL. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CIUDAD LINEAL;;Ventas;;Pueblo Nuevo;;Quintana;;La Concepción;;San Pascual;;San Juan Bautista;;Colina;;Atalaya;;Costillares;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;60.445,52;;1.142,57;;319,80;;231,92;;72,31;;88,59;;105,27;;101,08;;55,97;;24,89;;142,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado MUJERES ;8,08;;7,71;;8,18;;8,36;;7,69;;8,06;;7,67;;5,74;;7,67;;3,56;;5,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 16 a 24 años;3,34;;2,72;;3,62;;3,17;;3,69;;2,85;;2,32;;1,66;;1,56;;3,27;;0,42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 25 a 44 años;7,30;;6,56;;6,76;;7,58;;6,16;;6,91;;5,70;;5,17;;6,69;;3,84;;4,10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 45 a 64 años;10,17;;10,02;;10,66;;10,46;;10,17;;10,24;;10,49;;7,36;;10,08;;3,49;;8,63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas de larga duración (febrero 2022);51,9%;83.245;50,3%;5.014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;38,9%;32.359;38,7%;1.940;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;61,1%;50.886;61,3%;3.074;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas que SI perciben prestaciones (febrero 2022);42,4%;68.028;45,7%;4.551;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;47,3%;32.178;46,7%;2.126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;52,7%;35.850;53,3%;2.425;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas que NO perciben prestaciones (febrero 2022);57,6%;92.288;54,3%;5.418;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;39,5%;36.473;39,6%;2.146;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;60,5%;55.815;60,4%;3.272;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2021);100,0%;455.915;100,0%;26.603;100,0%;5.403;100,0%;7.513;100,0%;2.710;100,0%;2.446;100,0%;2.143;100,0%;1.898;100,0%;953;100,0%;248;100,0%;3.289;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0 a 2 años;17,2%;78.328;16,7%;4.436;18,4%;992;17,2%;1.289;17,0%;461;16,4%;400;16,1%;344;14,6%;277;15,7%;150;16,1%;40;14,7%;483;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,5%;84.424;18,4%;4.895;18,8%;1.016;17,6%;1.323;19,6%;530;19,3%;471;17,5%;376;18,8%;356;18,9%;180;22,2%;55;17,9%;588;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;175.023;37,9%;10.089;36,3%;1.959;38,2%;2.873;37,2%;1.009;38,0%;929;40,0%;857;39,3%;746;38,6%;368;37,5%;93;38,2%;1.255;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;118.140;27,0%;7.183;26,6%;1.436;27,0%;2.028;26,2%;710;26,4%;646;26,4%;566;27,3%;519;26,8%;255;24,2%;60;29,3%;963;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Etapas educativas. Total niños;51,1%;233.089;50,9%;13.548;50,6%;2.736;51,5%;3.866;50,6%;1.371;50,4%;1.234;51,7%;1.109;49,8%;945;48,5%;462;52,8%;131;51,5%;1.694;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0 a 2 años;17,1%;39.956;16,5%;2.232;18,0%;492;16,6%;643;16,7%;229;17,4%;215;16,1%;179;14,9%;141;6,4%;61;9,7%;24;7,5%;248;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,6%;43.338;19,0%;2.578;18,6%;509;18,7%;722;20,4%;279;19,5%;241;18,3%;203;19,4%;183;10,1%;96;10,5%;26;9,7%;319;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;89.462;38,0%;5.155;37,2%;1.018;38,1%;1.472;37,1%;509;38,0%;469;40,5%;449;39,5%;373;19,2%;183;21,8%;54;19,1%;628;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;60.333;26,4%;3.583;26,2%;717;26,6%;1.029;25,8%;354;25,0%;309;25,1%;278;26,2%;248;12,8%;122;10,9%;27;15,2%;499;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Etapas educativas. Total niñas;48,9%;222.826;49,1%;13.055;49,4%;2.667;48,5%;3.647;49,4%;1.339;49,6%;1.212;48,3%;1.034;50,2%;953;51,5%;491;47,2%;117;48,5%;1.595;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0 a 2 años;17,2%;38.372;16,9%;2.204;18,7%;500;17,7%;646;17,3%;232;15,3%;185;16,0%;165;14,3%;136;18,1%;89;13,7%;16;14,7%;235;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,4%;41.086;17,7%;2.317;19,0%;507;16,5%;601;18,7%;251;19,0%;230;16,7%;173;18,2%;173;17,1%;84;24,8%;29;16,9%;269;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;85.561;37,8%;4.934;35,3%;941;38,4%;1.401;37,3%;500;38,0%;460;39,5%;408;39,1%;373;37,7%;185;33,3%;39;39,3%;627;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;57.807;27,6%;3.600;27,0%;719;27,4%;999;26,6%;356;27,8%;337;27,9%;288;28,4%;271;27,1%;133;28,2%;33;29,1%;464;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.2. Escolarización del alumnado por tipo de centro (año escolar 2019/20);100,0%;531.839;100%;32.859;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;42,4%;225.516;48,4%;15.890;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
