08. FUENCARRAL-EL PARDO. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;FUENCARRAL-EL PARDO;;El Pardo;;Fuentelarreina;;Peñagrande;;Del Pilar;;La Paz;;Valverde;;Mirasierra;;El Goloso;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;60.445,52;;23.783,84;;18.758,34;;138,26;;288,73;;136,32;;215,48;;898,12;;699,28;;2.649,31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Densidad (hab./Ha.) ;54,37;;10,35;;0,18;;24,20;;152,00;;332,70;;150,11;;70,87;;50,39;;7,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2. LA POBLACIÓN DEL DISTRITO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.1. Estructura de la población (01/01/2022);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 25 a 44 años;7,30;;5,61;;7,60;;2,58;;5,74;;6,79;;4,39;;6,68;;3,77;;3,40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 45 a 64 años;10,17;;8,35;;9,47;;5,21;;9,34;;10,16;;7,95;;8,30;;6,74;;5,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas de larga duración (febrero 2022);51,9%;83.245;52,7%;4.476;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;38,9%;32.359;36,3%;1.623;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;61,1%;50.886;63,7%;2.853;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas que SI perciben prestaciones (febrero 2022);42,4%;68.028;45,7%;3.888;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;47,3%;32.178;44,8%;1.740;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;52,7%;35.850;55,2%;2.148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas que NO perciben prestaciones (febrero 2022);57,6%;92.288;54,3%;4.612;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;39,5%;36.473;37,6%;1.732;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;60,5%;55.815;62,4%;2.880;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2021);100,0%;455.915;100%;43.940;100%;413;100%;584;100%;5.785;100%;4.962;100%;3.743;100%;14.902;100%;7.588;100%;5.963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0 a 2 años;17,2%;78.328;16,3%;7.143;16,7%;69;14,7%;86;16,1%;929;19,0%;942;18,4%;687;14,8%;2.211;17,5%;1.330;14,9%;889;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,5%;84.424;19,2%;8.424;21,8%;90;17,5%;102;17,8%;1.028;20,0%;994;20,5%;768;19,3%;2.875;19,2%;1.455;18,6%;1.112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;175.023;40,7%;17.867;38,3%;158;42,3%;247;39,8%;2.303;37,4%;1.856;38,4%;1.436;42,5%;6.338;38,8%;2.946;43,3%;2.583;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;118.140;23,9%;10.506;23,2%;96;25,5%;149;26,4%;1.525;23,6%;1.170;22,8%;852;23,3%;3.478;24,5%;1.857;23,1%;1.379;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Etapas educativas. Total niños;51,1%;233.089;51,5%;22.610;50,8%;210;50,9%;297;51,6%;2.984;51,9%;2.573;51,1%;1.914;51,7%;7.700;50,8%;3.854;51,6%;3.078;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0 a 2 años;17,1%;39.956;16,0%;3.628;15,7%;33;15,2%;45;16,0%;478;18,6%;479;17,7%;338;14,8%;1.142;8,6%;653;7,7%;460;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,6%;43.338;19,2%;4.333;20,0%;42;19,9%;59;17,7%;528;19,6%;504;19,7%;377;19,8%;1.526;9,5%;718;9,7%;579;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;89.462;41,0%;9.271;42,9%;90;41,4%;123;40,0%;1.193;38,3%;985;40,2%;769;42,2%;3.249;19,8%;1.506;22,7%;1.356;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;60.333;23,8%;5.378;21,4%;45;23,6%;70;26,3%;785;23,5%;605;22,5%;430;23,2%;1.783;12,9%;977;11,5%;683;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Etapas educativas. Total niñas;48,9%;222.826;48,5%;21.330;49,2%;203;49,1%;287;48,4%;2.801;48,1%;2.389;48,9%;1.829;48,3%;7.202;49,2%;3.734;48,4%;2.885;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0 a 2 años;17,2%;38.372;16,5%;3.515;17,7%;36;14,3%;41;16,1%;451;19,4%;463;19,1%;349;14,8%;1.069;18,1%;677;14,9%;429;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
