09. MONCLOA-ARAVACA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;MONCLOA-ARAVACA;;Casa de Campo;;Argüelles;;Ciudad Universitaria;;Valdezarza;;Valdemarín;;El Plantío;;Aravaca;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pensión media mensual del Distrito MUJERES (2020);;1.146,5 €;113%;1.292,8 €;103%;1.330,9 €;103%;1.333,1 €;109%;1.414,6 €;91%;1.177,0 €;97%;1.248,0 €;96%;1.241,5 €;103%;1.335,1 €;;;;;;;;;;;;
1.4. INDICADORES DE DESEMPLEO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tasa de actividad global ciudad de Madrid (EPA. 4º trimestre 2021);62,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres ;67,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;58,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Número de personas paradas en la ciudad de Madrid (EPA. 4º trimestre 2021) (miles);;175,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres (miles);;79,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres (miles);;95,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paro registrado (nº de personas registradas en SEPE en febrero 2022);;160.316;2,4%;3.853;13,9%;536;18,1%;696;10,9%;419;32,1%;1.236;2,9%;113;1,3%;51;16,9%;651;;;;;;;;;;;;
Tasa absoluta de paro registrado (febrero 2022);7,33;;5,00;;6,73;;4,57;;4,38;;6,92;;2,61;;2,84;;3,76;;;;;;;;;;;;;
Tasa absoluta de paro registrado HOMBRES ;6,52;;4,59;;6,42;;4,26;;4,02;;6,28;;2,22;;2,12;;3,39;;;;;;;;;;;;;
De 16 a 24 años;3,33;;1,29;;2,97;;0,62;;1,38;;2,80;;0,00;;0,00;;0,57;;;;;;;;;;;;;
De 25 a 44 años;5,45;;4,10;;5,17;;3,74;;3,71;;5,46;;2,12;;1,51;;3,02;;;;;;;;;;;;;
De 45 a 64 años;8,63;;6,26;;8,37;;5,92;;5,50;;8,25;;3,17;;3,38;;5,00;;;;;;;;;;;;;
Tasa absoluta de paro registrado MUJERES ;8,08;;5,36;;7,03;;4,85;;4,72;;7,48;;2,93;;3,44;;4,08;;;;;;;;;;;;;
De 16 a 24 años;3,34;;1,16;;2,01;;1,24;;0,88;;2,41;;0,24;;1,22;;0,38;;;;;;;;;;;;;
De 25 a 44 años;7,30;;4,96;;7,28;;4,38;;4,41;;6,57;;2,18;;2,12;;3,80;;;;;;;;;;;;;
De 45 a 64 años;10,17;;7,11;;8,12;;6,54;;6,32;;9,77;;4,61;;5,24;;5,72;;;;;;;;;;;;;
Personas paradas de larga duración (febrero 2022);51,9%;83.245;51,8%;1.994;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;38,9%;32.359;40,5%;807;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;61,1%;50.886;59,5%;1.187;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas que SI perciben prestaciones (febrero 2022);42,4%;68.028;46,5%;1.790;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;47,3%;32.178;46,7%;836;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;52,7%;35.850;53,3%;954;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas que NO perciben prestaciones (febrero 2022);57,6%;92.288;53,5%;2.063;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;39,5%;36.473;40,8%;841;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;60,5%;55.815;59,2%;1.222;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2021);100,0%;455.915;100,0%;17.036;100,0%;1.257;100,0%;2.413;100,0%;2.044;100,0%;3.766;100,0%;1.745;100,0%;539;100,0%;5.272;;;;;;;;;;;;
0 a 2 años;17,2%;78.328;16,2%;2.763;18,7%;235;18,6%;448;15,9%;325;19,3%;726;12,6%;220;11,7%;63;14,2%;746;;;;;;;;;;;;
Infantil (3 a 5 años);18,5%;84.424;18,2%;3.098;20,6%;259;19,6%;474;18,0%;368;18,8%;707;17,1%;299;16,9%;91;17,1%;900;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;175.023;38,3%;6.529;35,8%;450;38,3%;924;37,6%;768;37,7%;1.420;41,0%;715;40,6%;219;38,6%;2.033;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;118.140;27,3%;4.646;24,9%;313;23,5%;567;28,5%;583;24,2%;913;29,3%;511;30,8%;166;30,2%;1.593;;;;;;;;;;;;
Etapas educativas. Total niños;51,1%;233.089;51,1%;8.705;50,4%;633;50,9%;1.228;49,5%;1.012;52,3%;1.971;51,1%;892;50,1%;270;51,2%;2.699;;;;;;;;;;;;
0 a 2 años;17,1%;39.956;16,5%;1.434;21,3%;135;17,3%;213;17,3%;175;19,5%;384;12,2%;109;10,7%;29;7,4%;389;;;;;;;;;;;;
