18. VILLA DE VALLECAS. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;VILLA DE VALLECAS;;Casco Histórico de Vallecas;;Santa Eugenia;;Ensanche de Vallecas;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Desigualdad en las dotaciones de los barrios (% respuesta muy alta + alta);82,9%;;89,5%;;;;;;;;;;;;;
1.7.3. Principales problemas de la ciudadanía (% personas encuestadas);;;;;;;;;;;;;;;;
1º. Limpieza;41,1%;;30,1%;;;;;;;;;;;;;
2º. Contaminación del aire;15,0%;;19,6%;;;;;;;;;;;;;
3º. Tráfico / atascos;10,8%;;12,6%;;;;;;;;;;;;;
1.7.4. Percepción de seguridad (indicador sintético 0-100);;;;;;;;;;;;;;;;
Percepción de seguridad en Madrid;;69,0;;87,8;;;;;;;;;;;;
Percepción de seguridad en el barrio por el día;;75,4;;71,9;;;;;;;;;;;;
Percepción de seguridad en el barrio por la noche;;61,6;;52,3;;;;;;;;;;;;
1.7.5. Problemas que afectan a la seguridad en los espacios públicos del distrito (escala 0-10);;;;;;;;;;;;;;;;
1º. Residuos por excrementos de animales domésticos;;6,7;;7,0;;;;;;;;;;;;
2º. Consumo o menudeo de drogas;;4,0;;5,4;;;;;;;;;;;;
3º. Robos, atracos y hurtos ;;4,0;;5,0;;;;;;;;;;;;
1.7.6. Administración de la ciudad (% de respuesta);;;;;;;;;;;;;;;;
Medio de información de la actividad del Ayuntamiento: REDES SOCIALES;19,3%;;21,7%;;;;;;;;;;;;;
Preferencia de contacto con el Ayuntamiento: EN PERSONA;48,6%;;55,9%;;;;;;;;;;;;;
Percepción sobre la administración del Ayto. en los últimos 5 años: HA MEJORADO;35,3%;;46,9%;;;;;;;;;;;;;
Percepción sobre la administración del Ayto. en los últimos 5 años: HA EMPEORADO;14,5%;;8,4%;;;;;;;;;;;;;
1.7.7. Amigabilidad de la ciudad (% respuesta mucho + bastante);;;;;;;;;;;;;;;;
Madrid ciudad amigable con las personas lesbianas, gays, transexuales y bisexuales;70,8%;;76,2%;;;;;;;;;;;;;
1.8. INDICADORES DE VULNERABILIDAD;;;;;;;;;;;;;;;;
1.8.1. Índice de vulnerabilidad territorial (2018);;;;;;;;;;;;;;;;
Índice de vulnerabilidad territorial;;;;0,0086;;0,0089;;0,0083;;;;;;;;
Posición en el ranking de distritos y/o barrios de vulnerabilidad territorial;;;;7;;35;;48;;;;;;;;
1.8.2. Tasa de riesgo de pobleza o exclusión social. Indicador AROPE (2017. Encuesta de Condiciones de Vida);;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social;26,0%;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social HOMBRES;23,9%;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social MUJERES;27,9%;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social N. ESPAÑOLA (>16 años);22,0%;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social N. EXTRANJERA UNIÓN EUROPEA (>16 años);18,1%;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social N. EXTRANJERA RESTO DEL MUNDO (>16 años);63,2%;;;;;;;;;;;;;;;
1.8.3. Tasa de riesgo de pobreza de los hogares (2016. Estudio de Necesidades Sociales. Hogares);;;;;;;;;;;;;;;;
Pareja o matrimonio con hijos;;35,7%;;;;;;;;;;;;;;
Hogar formado por madre con hijos a cargo;;41,1%;;;;;;;;;;;;;;
Nacido en España;;26,4%;;;;;;;;;;;;;;
Nacido en un país fuera de la Unión Europea;;39,2%;;;;;;;;;;;;;;
1.8.4. Situación económica de los hogares (2016. Estudio de Necesidades Sociales. Hogares);;;;;;;;;;;;;;;;
Dificultad para llegar a fin de mes (% respuesta mucha dificultad + dificultad);;20,0%;;;;;;;;;;;;;;
Imposibilidad de hacer frente a un gasto imprevisto de 650€;;38,7%;;;;;;;;;;;;;;
Dificultad para hacer frente a los gastos derivados del suministro energético;;9,5%;;;;;;;;;;;;;;
Entrevistados que han acudido a Servicios Sociales Municipales para solicitar atención social;;10,0%;;;;;;;;;;;;;;
1.9. SERVICIOS SOCIALES;;;;;;;;;;;;;;;;
1.9.1. Población en general (2017);;;;;;;;;;;;;;;;
Personas atendidas en la Unidad de Primera Atención en Centros de Servicios Sociales;;129.281;3,1%;3.947;;;;;;;;;;;;
Solicitudes tramitadas de Renta Mínima de Inserción;;6.969;5,6%;391;;;;;;;;;;;;
Perceptores de prestación de la Renta Mínima de Inserción;;16.219;8,0%;1.296;;;;;;;;;;;;
Beneficiarios de prestaciones sociales de carácter económico;;13.632;4,5%;610;;;;;;;;;;;;
Total prestaciones sociales de carácter económico (€);;7.440.030;3,9%;288.293;;;;;;;;;;;;
1.9.2. Personas Mayores (2017);;;;;;;;;;;;;;;;
Personas con Servicio de Ayuda a Domicilio (modalidad auxiliar de hogar);;71.238;2,0%;1.409;;;;;;;;;;;;
Hombres;;16.914;2,0%;341;;;;;;;;;;;;
Mujeres;;54.324;2,0%;1.068;;;;;;;;;;;;
Personas socias de los Centros Municipales de Mayores;;325.924;2,8%;9.062;;;;;;;;;;;;
Hombres;;124.008;3,0%;3.734;;;;;;;;;;;;
Mujeres ;;201.916;2,6%;5.328;;;;;;;;;;;;
1.9.3. Menores y Familia (2017);;;;;;;;;;;;;;;;
Familias atendidas por el Equipo de Trabajo con Menores y Familia (ETMF);;7.519;3,7%;278;;;;;;;;;;;;
Demandas de intervención en los Centros de Atención a la Infancia (CAI);;2.130;3,9%;84;;;;;;;;;;;;
Menores atendidos por el Servicio de Ayuda a domicilio a Menores y Familias (SAD) ;;1.361;2,2%;30;;;;;;;;;;;;
1.10. VIVIENDA;;;;;;;;;;;;;;;;
1.10.1. PLAN MAD-RE: PLAN ESTRATÉGICO MADRID RECUPERA (Programa de actuaciones 2018-2030);;;;;;;;;;;;;;;;
Planes Integrales Territoriales de Barrios Apirus;;48;6,3%;3;;;;;;;;;;;;
Planes Integrales Territoriales de Ordenación y Gestión;;71;7,0%;5;;;;;;;;;;;;
Proyecto Estratégico Ambiental;;13;7,7%;1;;;;;;;;;;;;
Proyecto Estratégico de Espacio Público;;140;4,3%;6;;;;;;;;;;;;
Proyecto Estratégico de Movilidad;;103;5,8%;6;;;;;;;;;;;;
1.10.2. Estado de las viviendas;;;;;;;;;;;;;;;;
Nº Total de viviendas (Censo Edificios y Viviendas 2011);100%;1.530.955;100%;43.520;;;;;;;;;;;;
Viviendas anteriores a 1980;69,4%;1.061.825;32,4%;14.085;;;;;;;;;;;;
Estado ruinoso;0,2%;3.445;0,1%;40;;;;;;;;;;;;
Estado malo;0,8%;12.705;0,4%;175;;;;;;;;;;;;
Estado deficiente;4,4%;66.775;1,8%;775;;;;;;;;;;;;
Estado bueno;92,8%;1.420.265;95,9%;41.730;;;;;;;;;;;;
No consta;1,8%;27.770;1,8%;800;;;;;;;;;;;;
Valor catastral medio de los bienes inmuebles: personas físicas (2018);;91.159,1 €;67,8%;61.790,4 €;90,3%;55.794 €;93,2%;57.584 €;114,5%;70.763 €;;;;;;
Valor catastral medio de los bienes inmuebles: personas jurídicas (2018);;370.572,5 €;38,0%;140.920,6 €;148,8%;209.676 €;272,6%;384.147 €;100,0%;140.948 €;;;;;;
Superficie media de la vivienda (m2) en transacción (2017);;84;94,4%;79;87,5%;69;115,1%;91;105,4%;83;;;;;;
Duración media del crédito (meses) en transacción de vivienda (2017);;296;111,1%;329;99,1%;326;98,2%;323;100,9%;332;;;;;;
1.10.3. Tipología de las viviendas ;;;;;;;;;;;;;;;;
Nº Total de viviendas familiares (Censo Edificios y Viviendas 2001);100,0%;1.378.931;100,0%;23.499;100,0%;13.962;100,0%;9.537;;;;;;;;
Principal;78,3%;1.080.306;86,1%;20.234;83,3%;11.634;90,2%;8.600;;;;;;;;
Secundaria;7,7%;106.192;3,0%;711;3,1%;438;2,9%;273;;;;;;;;
Desocupada;12,9%;178.377;10,5%;2.472;13,2%;1.845;6,6%;627;;;;;;;;
Otro tipo;1,0%;13.998;0,3%;82;0,3%;45;0,4%;37;;;;;;;;
