05. CHAMARTÍN. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;CHAMARTÍN;;El Viso;;Prosperidad;;Ciudad Jardín;;Hispanoamérica;;Nueva España;;Castilla;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;917,55;;170,92;;104,01;;76,23;;171,25;;179,01;;216,13;
Total prestaciones sociales de carácter económico (€);;7.440.030;1,6%;118.487;;;;;;;;;;;;
1.9.2. Personas Mayores (2017);;;;;;;;;;;;;;;;
Personas con Servicio de Ayuda a Domicilio (modalidad auxiliar de hogar);;71.238;2,1%;1.509;;;;;;;;;;;;
Hombres;;16.914;1,9%;322;;;;;;;;;;;;
Mujeres;;54.324;2,2%;1.187;;;;;;;;;;;;
Personas socias de los Centros Municipales de Mayores;;325.924;3,4%;11.227;;;;;;;;;;;;
Hombres;;124.008;3,1%;3.830;;;;;;;;;;;;
Mujeres ;;201.916;3,7%;7.397;;;;;;;;;;;;
1.9.3. Menores y Familia (2017);;;;;;;;;;;;;;;;
Familias atendidas por el Equipo de Trabajo con Menores y Familia (ETMF);;7.519;2,4%;178;;;;;;;;;;;;
Demandas de intervención en los Centros de Atención a la Infancia (CAI);;2.130;1,8%;39;;;;;;;;;;;;
Menores atendidos por el Servicio de Ayuda a domicilio a Menores y Familias (SAD) ;;1.361;2,1%;28;;;;;;;;;;;;
1.10. VIVIENDA;;;;;;;;;;;;;;;;
1.10.1. PLAN MAD-RE: PLAN ESTRATÉGICO MADRID RECUPERA (Programa de actuaciones 2018-2030);;;;;;;;;;;;;;;;
Planes Integrales Territoriales de Barrios Apirus;;48;0,0%;0;;;;;;;;;;;;
Planes Integrales Territoriales de Ordenación y Gestión;;71;0,0%;0;;;;;;;;;;;;
Proyecto Estratégico Ambiental;;13;0,0%;0;;;;;;;;;;;;
