20. SAN BLAS-CANILLEJAS. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;SAN BLAS-CANILLEJAS;;Simancas;;Hellín;;Amposta;;Arcos;;Rosas;;Rejas;;Canillejas;;El Salvador;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;2.229;;227,63;;55,06;;37,03;;130,52;;929,65;;501,57;;159,77;;188,01;
Secundaria (12 a 15 años);24,4%;55.083;28,8%;3.506;25,4%;542;28,2%;148;23,3%;138;31,3%;602;37,6%;1.103;18,6%;300;24,9%;445;34,0%;228
1.5.2. Escolarización de alumnos por tipo de centro (año escolar 2016/17);100%;510.340;100%;24.862;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;43,3%;220.761;35,9%;8.919;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;17,5%;89.197;12,9%;3.207;;;;;;;;;;;;;;;;
En centros PÚBLICOS;39,3%;200.382;51,2%;12.736;;;;;;;;;;;;;;;;
Total alumnos extranjeros;10,3%;52.588;9,1%;2.261;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,7%;18.249;25,7%;582;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;8,6%;4.514;4,0%;90;;;;;;;;;;;;;;;;
En centros PÚBLICOS;56,7%;29.825;70,3%;1.589;;;;;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;3,9%;19.911;5,3%;1309;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;50,1%;9.977;36,4%;476;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;3,8%;764;0,9%;12;;;;;;;;;;;;;;;;
En centros PÚBLICOS;46,1%;9.170;62,7%;821;;;;;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2018);;;;;;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;5,2%;129.614;6,4%;7.467;6,5%;1.335;11,4%;817;11,0%;693;10,3%;1.836;2,7%;603;3,1%;364;7,1%;1.603;2,5%;216
Primaria incompleta;12,1%;301.397;14,1%;16.518;14,5%;2.985;21,5%;1.542;21,8%;1.379;17,4%;3.096;9,6%;2.106;7,0%;826;17,5%;3.928;7,6%;656
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,5%;659.083;30,9%;36.152;32,9%;6.789;39,0%;2.791;41,7%;2.632;35,1%;6.266;25,1%;5.532;22,6%;2.684;34,8%;7.827;19,0%;1.631
Formación profesional 2º grado, Bachiller Superior o BUP;19,1%;475.507;20,2%;23.568;18,6%;3.827;16,5%;1.180;14,9%;942;18,3%;3.269;25,6%;5.634;20,9%;2.483;18,9%;4.257;23,0%;1.976
Titulados medios, diplomados, arquitecto o ingeniero técnico;9,7%;240.663;9,2%;10.804;8,9%;1.841;4,2%;299;4,1%;256;7,0%;1.244;12,7%;2.795;14,2%;1.687;7,3%;1.650;12,0%;1.032
Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados;27,3%;681.198;19,1%;22.291;18,5%;3.820;7,2%;519;6,4%;403;11,8%;2.103;24,3%;5.361;32,1%;3.802;14,3%;3.210;35,7%;3.073
Nivel de estudios desconocido y no consta;0,1%;3.467;0,1%;127;0,1%;17;0,2%;16;0,1%;8;0,1%;23;0,0%;10;0,1%;12;0,1%;27;0,2%;14
1.5.4. Programa de prevención y control del absentismo escolar;;;;;;;;;;;;;;;;;;;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2017-2018);100,0%;3.901;3,8%;149;;;;;;;;;;;;;;;;
Casos trabajados HOMBRES;50,1%;1.955;48,3%;72;;;;;;;;;;;;;;;;
Casos trabajados MUJERES;49,9%;1.946;51,7%;77;;;;;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2017. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;31,1%;;;;;;;;;;;;;;;;;
Sedentarismo HOMBRES ;25,2%;;;;;;;;;;;;;;;;;;;
Sedentarismo MUJERES ;34,0%;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario;18,9%;;20,6%;;;;;;;;;;;;;;;;;
Consumo de tabaco diario HOMBRES;20,2%;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario MUJERES ;17,9%;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos ;66,3%;;66,3%;;;;;;;;;;;;;;;;;
Consumo de medicamentos HOMBRES  ;62,4%;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos MUJERES ;69,7%;;;;;;;;;;;;;;;;;;;
1.6.2. Indicadores de nivel de salud (2017. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud  (% respuesta muy buena + buena);72,3%;;73,5%;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud HOMBRES ;77,4%;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud MUJERES ;68,0%;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) ;20,2%;;20,4%;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) HOMBRES;19,0%;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) MUJERES;21,1%;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica ;39,8%;;40,7%;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica HOMBRES ;36,6%;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica MUJERES;42,4%;;;;;;;;;;;;;;;;;;;
Hipertensión arterial;18,8%;;21,0%;;;;;;;;;;;;;;;;;
Hipertensión arterial HOMBRES;19,7%;;;;;;;;;;;;;;;;;;;
Hipertensión arterial MUJERES;18,1%;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus;6,0%;;5,2%;;;;;;;;;;;;;;;;;
Diabetes Mellitus HOMBRES;6,9%;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus MUJERES;5,3%;;;;;;;;;;;;;;;;;;;
Personas con obesidad ;12,2%;;13,1%;;;;;;;;;;;;;;;;;
Personas con obesidad HOMBRES ;13,3%;;;;;;;;;;;;;;;;;;;
Personas con obesidad MUJERES;11,2%;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso;33,5%;;36,0%;;;;;;;;;;;;;;;;;
Personas con sobrepeso HOMBRES;41,1%;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso MUJERES;27,0%;;;;;;;;;;;;;;;;;;;
Personas mayores de 65 años con alguna dependencia funcional;32,4%;;40,3%;;;;;;;;;;;;;;;;;
Alguna dependencia funcional HOMBRES ;39,1%;;;;;;;;;;;;;;;;;;;
Alguna dependencia funcional MUJERES;48,6%;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12);21,1%;;22,9%;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) HOMBRES;16,6%;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad (GHQ-12) MUJERES;24,9%;;;;;;;;;;;;;;;;;;;
Prevalencia de obesidad en la población infantil (2017. Estudio Madrid Salud. UCM);15,8%;;17,1%;;;;;;;;;;;;;;;;;
1.6.3. Discapacidad reconocida (31/12/2015);;;;;;;;;;;;;;;;;;;;
Nº de personas con grado de discapacidad reconocido;5,6%;180.040;5,3%;8.353;;;;;;;;;;;;;;;;
Hombres;48,1%;86.609;48,5%;4.052;;;;;;;;;;;;;;;;
Mujeres;51,9%;93.431;51,5%;4.301;;;;;;;;;;;;;;;;
Mujeres por cada 100 hombres (Feminización de la discapacidad reconocida);;107,9;;106,1;;;;;;;;;;;;;;;;
1.7. CALIDAD DE VIDA  (2017. Estudio >16 años);;;;;;;;;;;;;;;;;;;;
1.7.1. Calidad de vida y agenda pública (indicador sintético 0-100);;;;;;;;;;;;;;;;;;;;
Satisfacción de vivir en su barrio ;;69,8;;65,6;;;;;;;;;;;;;;;;
