14. MORATALAZ. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;MORATALAZ;;Pavones;;Horcajo;;Marroquina;;Media Legua;;Fontarrón;;Vinateros;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;610,32;;100,97;;74,59;;179,01;;99,9;;96,46;;59,4;;;;;;;;;
Prevalencia de obesidad en la población infantil (2017. Estudio Madrid Salud. UCM);15,8%;;17,1%;;;;;;;;;;;;;;;;;;;;;
1.6.3. Discapacidad reconocida (31/12/2018);;;;;;;;;;;;;;;;;;;;;;;;
Nº de personas con grado de discapacidad reconocido;6,1%;200.604;3,4%;6.806;;;;;;;;;;;;;;;;;;;;
Hombres;48,0%;96.322;46,6%;3.173;;;;;;;;;;;;;;;;;;;;
Mujeres;52,0%;104.282;53,4%;3.633;;;;;;;;;;;;;;;;;;;;
Mujeres por cada 100 hombres (Feminización de la discapacidad reconocida);;108,3;;114,5;;;;;;;;;;;;;;;;;;;;
1.7. CALIDAD DE VIDA  (2019. Encuesta, más de 16 años);;;;;;;;;;;;;;;;;;;;;;;;
1.7.1. Calidad de vida y agenda pública (indicador sintético 0-100);;;;;;;;;;;;;;;;;;;;;;;;
Satisfacción de vivir en su barrio ;;72,0;;78,6;;;;;;;;;;;;;;;;;;;;
Calidad de vida actual en su barrio ;;71,3;;76,4;;;;;;;;;;;;;;;;;;;;
Convivencia vecinal;;69,5;;72,6;;;;;;;;;;;;;;;;;;;;
1.7.2. Satisfacción con los servicios públicos (escala 0-10);;;;;;;;;;;;;;;;;;;;;;;;
Espacios verdes;;6,9;;7,9;;;;;;;;;;;;;;;;;;;;
Parques infantiles ;;6,4;;7,8;;;;;;;;;;;;;;;;;;;;
Centros culturales;;7,0;;7,5;;;;;;;;;;;;;;;;;;;;
Organización de fiestas y eventos populares;;6,7;;7,1;;;;;;;;;;;;;;;;;;;;
Instalaciones deportivas;;6,7;;7,5;;;;;;;;;;;;;;;;;;;;
Servicios sociales municipales;;6,5;;7,2;;;;;;;;;;;;;;;;;;;;
Desigualdad en las dotaciones de los barrios (% respuesta muy alta + alta);78,4%;;50,5%;;;;;;;;;;;;;;;;;;;;;
1.7.3. Principales problemas de la ciudadanía (% personas encuestadas);;;;;;;;;;;;;;;;;;;;;;;;
1º. Limpieza;29,1%;;11,6%;;;;;;;;;;;;;;;;;;;;;
2º. Contaminación del aire;18,7%;;25,9%;;;;;;;;;;;;;;;;;;;;;
3º. Tráfico / atascos;11,8%;;15,8%;;;;;;;;;;;;;;;;;;;;;
1.7.4. Percepción de seguridad (indicador sintético 0-100);;;;;;;;;;;;;;;;;;;;;;;;
Percepción de seguridad en Madrid;;67,6;;67,2;;;;;;;;;;;;;;;;;;;;
Percepción de seguridad en el barrio por el día;;76,0;;81,3;;;;;;;;;;;;;;;;;;;;
