11. CARABANCHEL. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CARABANCHEL;;Comillas;;Opañel;;San Isidro;;Vista Alegre;;Puerta Bonita;;Buenavista;;Abrantes;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De 25 a 44 años;5,45;;7,05;;7,52;;5,97;;8,42;;6,76;;7,81;;5,69;;7,48;;;;;;;;;;;;;;;;;;;
De 45 a 64 años;8,63;;10,13;;10,87;;9,86;;13,24;;10,64;;10,78;;7,14;;9,93;;;;;;;;;;;;;;;;;;;
Tasa absoluta de paro registrado MUJERES ;8,08;;9,81;;9,58;;8,73;;11,40;;9,14;;10,91;;9,12;;9,97;;;;;;;;;;;;;;;;;;;
De 16 a 24 años;3,34;;4,63;;3,70;;3,52;;6,35;;3,84;;5,81;;3,91;;5,10;;;;;;;;;;;;;;;;;;;
De 25 a 44 años;7,30;;9,32;;8,43;;7,67;;10,59;;8,53;;10,48;;9,87;;9,38;;;;;;;;;;;;;;;;;;;
De 45 a 64 años;10,17;;11,78;;12,20;;11,27;;13,61;;11,30;;12,98;;9,99;;12,00;;;;;;;;;;;;;;;;;;;
Personas paradas de larga duración (febrero 2022);51,9%;83.245;50,9%;7.907;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;38,9%;32.359;38,4%;3.038;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;61,1%;50.886;61,6%;4.869;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas que SI perciben prestaciones (febrero 2022);42,4%;68.028;40,4%;6.286;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;47,3%;32.178;49,0%;3.082;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;52,7%;35.850;51,0%;3.204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas paradas que NO perciben prestaciones (febrero 2022);57,6%;92.288;59,6%;9.255;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;39,5%;36.473;39,2%;3.628;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;60,5%;55.815;60,8%;5.627;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2021);100,0%;455.915;100%;36.742;100%;2.486;100%;3.982;100%;5.161;100%;5.822;100%;5.129;100%;9.238;100%;4.924;;;;;;;;;;;;;;;;;;
0 a 2 años;17,2%;78.328;16,1%;5.920;20,7%;514;18,6%;741;17,6%;910;17,8%;1.039;16,8%;861;12,1%;1.119;14,9%;736;;;;;;;;;;;;;;;;;;
