04. SALAMANCA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;SALAMANCA;;Recoletos;;Goya;;Fuente del Berro;;Guindalera;;Lista;;Castellana;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;539,24;;87,31;;77,03;;85,26;;160,28;;52,02;;77,34;
Solicitudes tramitadas de Renta Mínima de Inserción;;6.969;1,4%;96;;;;;;;;;;;;
Perceptores de prestación de la Renta Mínima de Inserción;;16.219;0,6%;104;;;;;;;;;;;;
Beneficiarios de prestaciones sociales de carácter económico;;13.632;2,3%;307;;;;;;;;;;;;
Total prestaciones sociales de carácter económico (€);;7.440.030;2,8%;211.729;;;;;;;;;;;;
1.9.2. Personas Mayores (2017);;;;;;;;;;;;;;;;
Personas con Servicio de Ayuda a Domicilio (modalidad auxiliar de hogar);;71.238;2,4%;1.683;;;;;;;;;;;;
Hombres;;16.914;1,9%;326;;;;;;;;;;;;
Mujeres;;54.324;2,5%;1.357;;;;;;;;;;;;
Personas socias de los Centros Municipales de Mayores;;325.924;3,3%;10.654;;;;;;;;;;;;
Hombres;;124.008;2,7%;3.337;;;;;;;;;;;;
Mujeres ;;201.916;3,6%;7.317;;;;;;;;;;;;
1.9.3. Menores y Familia (2017);;;;;;;;;;;;;;;;
Familias atendidas por el Equipo de Trabajo con Menores y Familia (ETMF);;7.519;1,6%;117;;;;;;;;;;;;
Demandas de intervención en los Centros de Atención a la Infancia (CAI);;2.130;2,3%;48;;;;;;;;;;;;
Menores atendidos por el Servicio de Ayuda a domicilio a Menores y Familias (SAD) ;;1.361;3,7%;50;;;;;;;;;;;;
1.10. VIVIENDA;;;;;;;;;;;;;;;;
1.10.1. PLAN MAD-RE: PLAN ESTRATÉGICO MADRID RECUPERA (Programa de actuaciones 2018-2030);;;;;;;;;;;;;;;;
Planes Integrales Territoriales de Barrios Apirus;;48;0,0%;0;;;;;;;;;;;;
Planes Integrales Territoriales de Ordenación y Gestión;;71;0,0%;0;;;;;;;;;;;;
