14. MORATALAZ. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;MORATALAZ;;Pavones;;Horcajo;;Marroquina;;Media Legua;;Fontarrón;;Vinateros;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;610,32;;100,97;;74,59;;179,01;;99,9;;96,46;;59,4;
Personas socias de los Centros Municipales de Mayores;;325.924;4,9%;16.025;;;;;;;;;;;;
Hombres;;124.008;5,0%;6.232;;;;;;;;;;;;
Mujeres ;;201.916;4,9%;9.793;;;;;;;;;;;;
1.9.3. Menores y Familia (2017);;;;;;;;;;;;;;;;
Familias atendidas por el Equipo de Trabajo con Menores y Familia (ETMF);;7.519;3,2%;238;;;;;;;;;;;;
Demandas de intervención en los Centros de Atención a la Infancia (CAI);;2.130;3,1%;65;;;;;;;;;;;;
Menores atendidos por el Servicio de Ayuda a domicilio a Menores y Familias (SAD) ;;1.361;4,6%;62;;;;;;;;;;;;
1.10. VIVIENDA;;;;;;;;;;;;;;;;
1.10.1. PLAN MAD-RE: PLAN ESTRATÉGICO MADRID RECUPERA (Programa de actuaciones 2018-2030);;;;;;;;;;;;;;;;
Planes Integrales Territoriales de Barrios Apirus;;48;6,3%;3;;;;;;;;;;;;
Planes Integrales Territoriales de Ordenación y Gestión;;71;4,2%;3;;;;;;;;;;;;
Proyecto Estratégico Ambiental;;13;7,7%;1;;;;;;;;;;;;
Proyecto Estratégico de Espacio Público;;140;5,0%;7;;;;;;;;;;;;
Proyecto Estratégico de Movilidad;;103;2,9%;3;;;;;;;;;;;;
1.10.2. Estado de las viviendas;;;;;;;;;;;;;;;;
Nº Total de viviendas (Censo Edificios y Viviendas 2011);100%;1.530.955;100%;44.405;;;;;;;;;;;;
Viviendas anteriores a 1980;69,4%;1.061.825;76,7%;34.055;;;;;;;;;;;;
Estado ruinoso;0,2%;3.445;0,2%;95;;;;;;;;;;;;
Estado malo;0,8%;12.705;0,0%;0;;;;;;;;;;;;
