13. PUENTE DE VALLECAS. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;PUENTE DE VALLECAS;;Entrevías;;San Diego;;Palomeras Bajas;;Palomeras Sureste;;Portazgo;;Numancia;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;1.496,86;;597,19;;106,99;;172,39;;310,86;;124,53;;184,91;;;;;;;;;
Infantil (3 a 5 años);18,7%;44.354;17,3%;2.925;17,7%;469;17,9%;575;15,1%;403;18,0%;549;18,0%;365;17,4%;564;;;;;;;;
Primaria (6 a 11 años);38,5%;91.575;38,5%;6.499;39,1%;1037;37,4%;1201;39,4%;1054;38,3%;1166;39,1%;793;38,4%;1248;;;;;;;;
Secundaria (12 a 15 años);24,6%;58.367;25,8%;4.344;25,9%;686;23,8%;764;29,1%;777;25,3%;771;25,4%;515;25,6%;831;;;;;;;;
Etapas educativas. Total niñas;48,8%;226.781;48,5%;15.857;47,7%;2.422;48,2%;2.989;49,6%;2.629;49,0%;2.926;47,9%;1.869;48,2%;3.022;;;;;;;;
0 a 2 años;18,3%;41.431;18,7%;2.966;18,8%;456;20,8%;623;15,3%;403;18,0%;527;18,7%;349;20,1%;608;;;;;;;;
Infantil (3 a 5 años);18,7%;42.330;18,8%;2.977;17,8%;432;19,9%;596;17,0%;447;17,9%;524;19,6%;367;20,2%;611;;;;;;;;
Primaria (6 a 11 años);38,3%;86.870;36,9%;5.850;36,9%;893;35,7%;1066;37,9%;997;37,7%;1102;37,6%;703;36,0%;1089;;;;;;;;
Secundaria (12 a 15 años);24,8%;56.150;25,6%;4.064;26,5%;641;23,6%;704;29,7%;782;26,4%;773;24,1%;450;23,6%;714;;;;;;;;
1.5.2. Escolarización de alumnos por tipo de centro (año escolar 2017/18);100,0%;519.294;100%;36.331;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;43,1%;223.703;48,1%;17.470;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;17,9%;92.853;5,0%;1.830;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;39,0%;202.738;46,9%;17.031;;;;;;;;;;;;;;;;;;;;
Total alumnos extranjeros;10,6%;54.812;16,2%;5.895;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,9%;19.103;45,0%;2.653;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;9,1%;4.965;1,5%;87;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;56,1%;30.744;53,5%;3.155;;;;;;;;;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;4,0%;20.898;5,7%;2.070;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;49,2%;10.285;49,2%;1.019;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;4,6%;963;0,3%;6;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;46,2%;9.650;50,5%;1.045;;;;;;;;;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2019);;;;;;;;;;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;4,9%;123.025;10,3%;18.499;15,9%;4.162;7,9%;2.474;7,5%;2.270;12,0%;3.904;12,1%;2.667;8,2%;3.022;;;;;;;;
Primaria incompleta;11,6%;291.746;18,6%;33.253;21,5%;5.629;17,7%;5.542;16,0%;4.817;17,6%;5.753;21,6%;4.749;18,4%;6.763;;;;;;;;
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,4%;666.553;38,4%;68.684;40,7%;10.663;40,9%;12.813;36,4%;10.962;37,7%;12.311;37,9%;8.322;37,1%;13.613;;;;;;;;
Formación profesional 2º grado, Bachiller Superior o BUP;19,1%;482.262;17,4%;31.126;13,1%;3.440;18,0%;5.640;20,5%;6.163;17,2%;5.610;15,6%;3.434;18,6%;6.839;;;;;;;;
Titulados medios, diplomados, arquitecto o ingeniero técnico;9,5%;240.302;5,3%;9.536;3,2%;839;5,3%;1.649;6,9%;2.067;5,4%;1.767;4,7%;1.037;5,9%;2.177;;;;;;;;
Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados;28,4%;717.868;9,9%;17.636;5,5%;1.431;10,2%;3.199;12,6%;3.795;9,9%;3.246;7,8%;1.723;11,6%;4.242;;;;;;;;
Nivel de estudios desconocido y no consta;0,1%;3.253;0,1%;209;0,1%;20;0,1%;20;0,1%;44;0,1%;33;0,2%;50;0,1%;42;;;;;;;;
1.5.4. Programa de prevención y control del absentismo escolar;1;2.525.009;1;178.943;1;26.184;1;31.337;1;30.118;1;32.624;1;21.982;1;36.698;;;;;;;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2018-2019);100,0%;4.025;14,0%;562;;;;;;;;;;;;;;;;;;;;
Casos trabajados HOMBRES;51,2%;2.060;53,6%;301;;;;;;;;;;;;;;;;;;;;
Casos trabajados MUJERES;48,8%;1.965;46,4%;261;;;;;;;;;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2017-18. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;37,8%;;;;;;;;;;;;;;;;;;;;;
Sedentarismo HOMBRES ;25,2%;;;;;;;;;;;;;;;;;;;;;;;
Sedentarismo MUJERES ;34,0%;;;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario;18,9%;;22,2%;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario HOMBRES;20,2%;;;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario MUJERES ;17,9%;;;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos ;66,3%;;67,6%;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos HOMBRES  ;62,4%;;;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos MUJERES ;69,7%;;;;;;;;;;;;;;;;;;;;;;;
1.6.2. Indicadores de nivel de salud (2017-18. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud  (% respuesta muy buena + buena);72,3%;;68,3%;;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud HOMBRES ;77,4%;;;;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud MUJERES ;68,0%;;;;;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) ;20,2%;;20,8%;;;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) HOMBRES;19,0%;;;;;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) MUJERES;21,1%;;;;;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica ;39,8%;;40,6%;;;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica HOMBRES ;36,6%;;;;;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica MUJERES;42,4%;;;;;;;;;;;;;;;;;;;;;;;
Hipertensión arterial;18,8%;;21,3%;;;;;;;;;;;;;;;;;;;;;
Hipertensión arterial HOMBRES;19,7%;;;;;;;;;;;;;;;;;;;;;;;
Hipertensión arterial MUJERES;18,1%;;;;;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus;6,0%;;7,2%;;;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus HOMBRES;6,9%;;;;;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus MUJERES;5,3%;;;;;;;;;;;;;;;;;;;;;;;
Personas con obesidad ;12,2%;;15,2%;;;;;;;;;;;;;;;;;;;;;
Personas con obesidad HOMBRES ;13,3%;;;;;;;;;;;;;;;;;;;;;;;
Personas con obesidad MUJERES;11,2%;;;;;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso;33,5%;;35,2%;;;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso HOMBRES;41,1%;;;;;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso MUJERES;27,0%;;;;;;;;;;;;;;;;;;;;;;;
Personas mayores de 65 años con alguna dependencia funcional;32,4%;;37,6%;;;;;;;;;;;;;;;;;;;;;
Alguna dependencia funcional HOMBRES ;39,1%;;;;;;;;;;;;;;;;;;;;;;;
Alguna dependencia funcional MUJERES;48,6%;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12);21,1%;;22,0%;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) HOMBRES;16,6%;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad (GHQ-12) MUJERES;24,9%;;;;;;;;;;;;;;;;;;;;;;;
Prevalencia de obesidad en la población infantil (2017. Estudio Madrid Salud. UCM);15,8%;;21,0%;;;;;;;;;;;;;;;;;;;;;
1.6.3. Discapacidad reconocida (31/12/2018);;;;;;;;;;;;;;;;;;;;;;;;
Nº de personas con grado de discapacidad reconocido;6,1%;200.604;9,4%;18.893;;;;;;;;;;;;;;;;;;;;
Hombres;48,0%;96.322;48,8%;9.221;;;;;;;;;;;;;;;;;;;;
Mujeres;52,0%;104.282;51,2%;9.672;;;;;;;;;;;;;;;;;;;;
Mujeres por cada 100 hombres (Feminización de la discapacidad reconocida);;108,3;;104,89;;;;;;;;;;;;;;;;;;;;
1.7. CALIDAD DE VIDA  (2019.  Encuesta, más de 16 años);;;;;;;;;;;;;;;;;;;;;;;;
1.7.1. Calidad de vida y agenda pública (indicador sintético 0-100);;;;;;;;;;;;;;;;;;;;;;;;
Satisfacción de vivir en su barrio ;;72,0;;65,4;;;;;;;;;;;;;;;;;;;;
Calidad de vida actual en su barrio ;;71,3;;60,0;;;;;;;;;;;;;;;;;;;;
Convivencia vecinal;;69,5;;61,1;;;;;;;;;;;;;;;;;;;;
1.7.2. Satisfacción con los servicios públicos (escala 0-10);;;;;;;;;;;;;;;;;;;;;;;;
Espacios verdes;;6,9;;6,5;;;;;;;;;;;;;;;;;;;;
Parques infantiles ;;6,4;;5,8;;;;;;;;;;;;;;;;;;;;
Centros culturales;;7,0;;7,0;;;;;;;;;;;;;;;;;;;;
Organización de fiestas y eventos populares;;6,7;;6,9;;;;;;;;;;;;;;;;;;;;
Instalaciones deportivas;;6,7;;6,9;;;;;;;;;;;;;;;;;;;;
Servicios sociales municipales;;6,5;;6,3;;;;;;;;;;;;;;;;;;;;
Desigualdad en las dotaciones de los barrios (% respuesta muy alta + alta);78,4%;;84,0%;;;;;;;;;;;;;;;;;;;;;
1.7.3. Principales problemas de la ciudadanía (% personas encuestadas);;;;;;;;;;;;;;;;;;;;;;;;
1º. Limpieza;29,1%;;12,5%;;;;;;;;;;;;;;;;;;;;;
2º. Contaminación del aire;18,7%;;15,0%;;;;;;;;;;;;;;;;;;;;;
3º. Tráfico / atascos;11,8%;;27,0%;;;;;;;;;;;;;;;;;;;;;
1.7.4. Percepción de seguridad (indicador sintético 0-100);;;;;;;;;;;;;;;;;;;;;;;;
Percepción de seguridad en Madrid;;67,6;;65,2;;;;;;;;;;;;;;;;;;;;
Percepción de seguridad en el barrio por el día;;76,0;;70,1;;;;;;;;;;;;;;;;;;;;
Percepción de seguridad en el barrio por la noche;;60,2;;46,8;;;;;;;;;;;;;;;;;;;;
1.7.5. Problemas que afectan a la seguridad en los espacios públicos del distrito (escala 0-10);;;;;;;;;;;;;;;;;;;;;;;;
1º Excrementos animales domésticos;;6,6;;8,4;;;;;;;;;;;;;;;;;;;;
2º Botellón;;4,1;;5,9;;;;;;;;;;;;;;;;;;;;
3º Estacionamientos indebidos;;4,0;;6,6;;;;;;;;;;;;;;;;;;;;
1.7.6. Administración de la ciudad de Madrid (% de respuesta);;;;;;;;;;;;;;;;;;;;;;;;
Medio de información de la actividad del Ayuntamiento: REDES SOCIALES;20,9%;;33,7%;;;;;;;;;;;;;;;;;;;;;
Preferencia de contacto con el Ayuntamiento: EN PERSONA;46,0%;;65,1%;;;;;;;;;;;;;;;;;;;;;
Percepción sobre la administración del Ayto. en los últimos 5 años: HA MEJORADO;38,6%;;49,4%;;;;;;;;;;;;;;;;;;;;;
Percepción sobre la administración del Ayto. en los últimos 5 años: HA EMPEORADO;16,6%;;13,7%;;;;;;;;;;;;;;;;;;;;;
1.7.7. Amigabilidad de la ciudad de Madrid (% respuesta mucho + bastante);;;;;;;;;;;;;;;;;;;;;;;;
Madrid ciudad amigable con las personas lesbianas, gays, transexuales y bisexuales;76,9%;;57,6%;;;;;;;;;;;;;;;;;;;;;
1.8. INDICADORES DE VULNERABILIDAD;;;;;;;;;;;;;;;;;;;;;;;;
1.8.1. Índice de vulnerabilidad territorial (2019);;;;;;;;;;;;;;;;;;;;;;;;
Índice de vulnerabilidad territorial;;;;0,0112;;0,0117;;0,0118;;0,0105;;0,0108;;0,0113;;0,0113;;;;;;;;
Posición en el ranking de distritos y/o barrios de vulnerabilidad territorial;;;;21;;2;;1;;7;;6;;4;;5;;;;;;;;
1.8.2. Tasa de riesgo de pobreza o exclusión social. Indicador AROPE (2018. Encuesta de Condiciones de Vida);;;;;;;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobreza o exclusión social;25,5%;;;;;;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobreza o exclusión social HOMBRES;24,0%;;;;;;;;;;;;;;;;;;;;;;;
