CodigoEstacion,NombreEstacion,Utilizaciones2014,Utilizaciones2015,Utilizaciones2016,Utilizaciones2017,Utilizaciones2018,Utilizaciones2019,Utilizaciones2020,Utilizaciones2021,Utilizaciones2022,Utilizaciones2023
521,Marqués de Vadillo,5662782,5749464,5865619,5301032,6162511,6732616,3880268,4880497,6131555,6973604
522,Urgel,3846173,3944214,4058797,3713931,4785980,5365030,3280508,4128094,5072613,5861780
523,Oporto,16098085,15906557,17009095,17134433,17946592,20120412,12594074,15822483,19285438,22565692
524,Vista Alegre,2743364,2982591,3084517,2799158,4101019,4719688,2832781,3515983,4098510,5213642
525,Carabanchel,3653091,3643292,3781751,3553165,4345207,4525193,2785338,3436762,3918730,4830559
526,Eugenia de Montijo,2469326,2402310,2486825,3969988,2633330,2784779,1583441,1930562,2260201,2755237
527,Aluche,10058235,9685621,10243034,9190192,10399269,10711241,6337032,7710593,9022886,10911292
528,Empalme,2391665,2337690,2418412,11693319,2370129,2522449,1449331,1775111,2154510,2508320
529,Campamento,3808085,3706355,3776386,3473990,3724170,3890118,2318720,2899486,3488722,4108659
530,Casa de Campo,11874137,11635110,11811579,3191252,9839897,10612320,6271004,7956621,9831754,11500806
551,El Capricho,719472,1033310,1056113,1224132,1267151,1422566,746785,943938,1245913,1412686
552,Alameda de Osuna,2133077,2238792,2267292,2153944,3110859,2947954,1438344,1746651,2444475,2676987
601,Laguna,3418120,2833316,3612452,4017220,4172308,4347947,2605931,3225039,3955712,4701664
602,Carpetana,4555084,3695214,4684044,1216645,5921880,6751986,4572897,5569768,6817467,7860321
604,Opañel,3489200,3484906,3635244,3951821,3906267,4561270,2924851,3585408,4417898,5181059
605,Plaza Elíptica,16255227,16300721,16973041,18665682,18378025,20258271,12911801,16365931,20191798,23596737
606,Usera,8040774,7424088,7653122,9020882,8101879,10045029,6130406,7515213,9366882,11188349
608,Arganzuela-Planetario,2145921,1998927,2210366,2415530,3142010,2871658,1333849,1556334,2066545,2339888
609,Méndez Álvaro,14666281,14682242,15019625,15885487,14235956,15815501,8273400,8974299,11740493,14101075
611,Conde de Casal,8967344,9280607,10521213,2743984,10894822,11041997,6062760,6661469,8981851,11000788
612,Sáinz de Baranda,11912595,11891601,12619426,13713825,14398367,14270485,7548151,9768952,14121432,14958109
613,O´Donnell,6833979,7296830,7397557,8062630,7802285,8055702,4317420,5222459,5949108,7296734
617,República Argentina,3007798,2991751,3079068,3283537,3262308,3025934,1539309,1988646,2398005,2790433
618,Nuevos Ministerios,41808061,42631992,47463452,45221947,43922620,49957884,25442564,29885885,37752431,48424344
620,Guzmán el Bueno,11861640,12607056,13313633,14204614,12742418,12423847,6685591,8465631,10828830,11899042
621,Vicente Aleixandre,4346408,4101552,4218862,4578125,4694237,4164371,1656401,2139036,3051719,3243571
622,Ciudad Universitaria,9733699,10401206,10607257,5994569,14887925,11735836,4011433,5703438,8333526,9102274
625,Príncipe Pío,34887006,32253504,34199931,35555172,43327826,46253577,25004221,32191729,41600346,48901515
626,Puerta del Ángel,5723611,6275691,5992346,6321562,5684724,6301189,3617108,4599412,5633592,6344083
627,Alto de Extremadura,4030917,3425550,4150007,4467863,4312661,4551071,2670773,3455779,4168055,4653775
628,Lucero,5842452,4814078,5825141,6191106,5546091,6394829,4090387,5054775,6193152,7121027
701,Las Musas,2247597,2290999,2281793,2486239,2421296,2564658,1406237,1699016,2113396,2359957
702,San Blas,2288795,2321110,2431070,2591549,2392608,2624806,1634168,2030506,2409998,2791918
703,Simancas,2999392,2973792,3190157,3454855,3187147,3858228,2570652,3109979,3660003,4220457
704,García Noblejas,4090545,4105889,4114771,4540085,4575499,5185837,2714631,3177105,3910809,4513602
705,Ascao,3921283,3952420,4089276,4381335,3750763,4296939,2542104,3182987,3770779,4424924
707,Barrio de la Concepción,3979866,3980716,4281594,4606674,4514468,4933044,2542534,3038122,3751138,4299991
708,Parque de las Avenidas,2543647,2525492,2531559,2674362,2735733,2775870,1509308,1823405,2261089,2521389
